DATE,TIME,当日実績(万kW)
2019/11/04,00:00,997
2019/11/04,01:00,969
2019/11/04,02:00,995
2019/11/04,03:00,1033
2019/11/04,04:00,1056
2019/11/04,05:00,1093
2019/11/04,06:00,1139
2019/11/04,07:00,1249
2019/11/04,08:00,1380
2019/11/04,09:00,1486
2019/11/04,10:00,1495
2019/11/04,11:00,1483
2019/11/04,12:00,1423
2019/11/04,13:00,1494
2019/11/04,14:00,1498
2019/11/04,15:00,1484
2019/11/04,16:00,1507
2019/11/04,17:00,1553
2019/11/04,18:00,1531
2019/11/04,19:00,1478
2019/11/04,20:00,1444
2019/11/04,21:00,1390
2019/11/04,22:00,1329
2019/11/04,23:00,1281
