DATE,TIME,当日実績(万kW)
2023/08/28,00:00,1172
2023/08/28,01:00,1108
2023/08/28,02:00,1094
2023/08/28,03:00,1108
2023/08/28,04:00,1132
2023/08/28,05:00,1181
2023/08/28,06:00,1278
2023/08/28,07:00,1539
2023/08/28,08:00,1912
2023/08/28,09:00,2122
2023/08/28,10:00,2217
2023/08/28,11:00,2280
2023/08/28,12:00,2245
2023/08/28,13:00,2341
2023/08/28,14:00,2368
2023/08/28,15:00,2323
2023/08/28,16:00,2285
2023/08/28,17:00,2135
2023/08/28,18:00,2060
2023/08/28,19:00,1959
2023/08/28,20:00,1861
2023/08/28,21:00,1770
2023/08/28,22:00,1689
2023/08/28,23:00,1613
