DATE,TIME,当日実績(万kW)
2020/02/22,00:00,1431
2020/02/22,01:00,1405
2020/02/22,02:00,1398
2020/02/22,03:00,1404
2020/02/22,04:00,1376
2020/02/22,05:00,1350
2020/02/22,06:00,1366
2020/02/22,07:00,1404
2020/02/22,08:00,1496
2020/02/22,09:00,1527
2020/02/22,10:00,1510
2020/02/22,11:00,1510
2020/02/22,12:00,1470
2020/02/22,13:00,1491
2020/02/22,14:00,1484
2020/02/22,15:00,1473
2020/02/22,16:00,1477
2020/02/22,17:00,1505
2020/02/22,18:00,1537
2020/02/22,19:00,1500
2020/02/22,20:00,1470
2020/02/22,21:00,1413
2020/02/22,22:00,1341
2020/02/22,23:00,1301
