DATE,TIME,実績(万kW),DATETIME
2021/4/6,2:00,618,2021-04-06 2:00:00
2021/4/6,3:00,663,2021-04-06 3:00:00
2021/4/6,4:00,682,2021-04-06 4:00:00
2021/4/6,5:00,684,2021-04-06 5:00:00
2021/4/6,6:00,689,2021-04-06 6:00:00
2021/4/6,7:00,684,2021-04-06 7:00:00
2021/4/6,8:00,705,2021-04-06 8:00:00
2021/4/6,9:00,708,2021-04-06 9:00:00
2021/4/6,10:00,699,2021-04-06 10:00:00
2021/4/6,11:00,699,2021-04-06 11:00:00
2021/4/6,12:00,650,2021-04-06 12:00:00
2021/4/6,13:00,682,2021-04-06 13:00:00
2021/4/6,14:00,677,2021-04-06 14:00:00
2021/4/6,15:00,676,2021-04-06 15:00:00
2021/4/6,16:00,669,2021-04-06 16:00:00
2021/4/6,17:00,662,2021-04-06 17:00:00
2021/4/6,18:00,695,2021-04-06 18:00:00
2021/4/6,19:00,693,2021-04-06 19:00:00
2021/4/6,20:00,677,2021-04-06 20:00:00
2021/4/6,21:00,651,2021-04-06 21:00:00
2021/4/6,22:00,621,2021-04-06 22:00:00
2021/4/6,23:00,594,2021-04-06 23:00:00
2021/4/7,0:00,581,2021-04-07 0:00:00
2021/4/7,1:00,591,2021-04-07 1:00:00
2021/4/7,2:00,623,2021-04-07 2:00:00
2021/4/7,3:00,658,2021-04-07 3:00:00
2021/4/7,4:00,673,2021-04-07 4:00:00
2021/4/7,5:00,679,2021-04-07 5:00:00
2021/4/7,6:00,696,2021-04-07 6:00:00
2021/4/7,7:00,675,2021-04-07 7:00:00
2021/4/7,8:00,681,2021-04-07 8:00:00
2021/4/7,9:00,692,2021-04-07 9:00:00
2021/4/7,10:00,680,2021-04-07 10:00:00
2021/4/7,11:00,681,2021-04-07 11:00:00
2021/4/7,12:00,639,2021-04-07 12:00:00
2021/4/7,13:00,666,2021-04-07 13:00:00
2021/4/7,14:00,652,2021-04-07 14:00:00
2021/4/7,15:00,641,2021-04-07 15:00:00
2021/4/7,16:00,646,2021-04-07 16:00:00
2021/4/7,17:00,644,2021-04-07 17:00:00
2021/4/7,18:00,663,2021-04-07 18:00:00
2021/4/7,19:00,664,2021-04-07 19:00:00
2021/4/7,20:00,657,2021-04-07 20:00:00
2021/4/7,21:00,627,2021-04-07 21:00:00
2021/4/7,22:00,596,2021-04-07 22:00:00
2021/4/7,23:00,586,2021-04-07 23:00:00
2021/4/8,0:00,562,2021-04-08 0:00:00
2021/4/8,1:00,563,2021-04-08 1:00:00
2021/4/8,2:00,598,2021-04-08 2:00:00
2021/4/8,3:00,644,2021-04-08 3:00:00
2021/4/8,4:00,664,2021-04-08 4:00:00
2021/4/8,5:00,652,2021-04-08 5:00:00
2021/4/8,6:00,653,2021-04-08 6:00:00
2021/4/8,7:00,645,2021-04-08 7:00:00
2021/4/8,8:00,678,2021-04-08 8:00:00
2021/4/8,9:00,690,2021-04-08 9:00:00
2021/4/8,10:00,680,2021-04-08 10:00:00
2021/4/8,11:00,676,2021-04-08 11:00:00
2021/4/8,12:00,635,2021-04-08 12:00:00
2021/4/8,13:00,671,2021-04-08 13:00:00
2021/4/8,14:00,661,2021-04-08 14:00:00
2021/4/8,15:00,649,2021-04-08 15:00:00
2021/4/8,16:00,650,2021-04-08 16:00:00
2021/4/8,17:00,648,2021-04-08 17:00:00
2021/4/8,18:00,662,2021-04-08 18:00:00
2021/4/8,19:00,664,2021-04-08 19:00:00
2021/4/8,20:00,643,2021-04-08 20:00:00
2021/4/8,21:00,619,2021-04-08 21:00:00
2021/4/8,22:00,595,2021-04-08 22:00:00
2021/4/8,23:00,571,2021-04-08 23:00:00
2021/4/9,0:00,559,2021-04-09 0:00:00
2021/4/9,1:00,563,2021-04-09 1:00:00
2021/4/9,2:00,603,2021-04-09 2:00:00
2021/4/9,3:00,649,2021-04-09 3:00:00
2021/4/9,4:00,667,2021-04-09 4:00:00
2021/4/9,5:00,666,2021-04-09 5:00:00
2021/4/9,6:00,681,2021-04-09 6:00:00
2021/4/9,7:00,665,2021-04-09 7:00:00
2021/4/9,8:00,674,2021-04-09 8:00:00
2021/4/9,9:00,681,2021-04-09 9:00:00
2021/4/9,10:00,680,2021-04-09 10:00:00
2021/4/9,11:00,685,2021-04-09 11:00:00
2021/4/9,12:00,650,2021-04-09 12:00:00
2021/4/9,13:00,674,2021-04-09 13:00:00
2021/4/9,14:00,664,2021-04-09 14:00:00
2021/4/9,15:00,652,2021-04-09 15:00:00
2021/4/9,16:00,657,2021-04-09 16:00:00
2021/4/9,17:00,656,2021-04-09 17:00:00
2021/4/9,18:00,671,2021-04-09 18:00:00
2021/4/9,19:00,678,2021-04-09 19:00:00
2021/4/9,20:00,667,2021-04-09 20:00:00
2021/4/9,21:00,641,2021-04-09 21:00:00
2021/4/9,22:00,623,2021-04-09 22:00:00
2021/4/9,23:00,597,2021-04-09 23:00:00
2021/4/10,0:00,585,2021-04-10 0:00:00
2021/4/10,1:00,588,2021-04-10 1:00:00
2021/4/10,2:00,623,2021-04-10 2:00:00
2021/4/10,3:00,667,2021-04-10 3:00:00
2021/4/10,4:00,678,2021-04-10 4:00:00
2021/4/10,5:00,657,2021-04-10 5:00:00
2021/4/10,6:00,636,2021-04-10 6:00:00
2021/4/10,7:00,614,2021-04-10 7:00:00
2021/4/10,8:00,591,2021-04-10 8:00:00
2021/4/10,9:00,593,2021-04-10 9:00:00
2021/4/10,10:00,579,2021-04-10 10:00:00
2021/4/10,11:00,576,2021-04-10 11:00:00
2021/4/10,12:00,559,2021-04-10 12:00:00
2021/4/10,13:00,558,2021-04-10 13:00:00
2021/4/10,14:00,547,2021-04-10 14:00:00
2021/4/10,15:00,545,2021-04-10 15:00:00
2021/4/10,16:00,547,2021-04-10 16:00:00
2021/4/10,17:00,563,2021-04-10 17:00:00
2021/4/10,18:00,604,2021-04-10 18:00:00
2021/4/10,19:00,627,2021-04-10 19:00:00
2021/4/10,20:00,614,2021-04-10 20:00:00
2021/4/10,21:00,587,2021-04-10 21:00:00
2021/4/10,22:00,562,2021-04-10 22:00:00
2021/4/10,23:00,548,2021-04-10 23:00:00
2021/4/11,0:00,537,2021-04-11 0:00:00
2021/4/11,1:00,549,2021-04-11 1:00:00
2021/4/11,2:00,596,2021-04-11 2:00:00
2021/4/11,3:00,637,2021-04-11 3:00:00
2021/4/11,4:00,653,2021-04-11 4:00:00
2021/4/11,5:00,628,2021-04-11 5:00:00
2021/4/11,6:00,603,2021-04-11 6:00:00
2021/4/11,7:00,580,2021-04-11 7:00:00
2021/4/11,8:00,552,2021-04-11 8:00:00
2021/4/11,9:00,538,2021-04-11 9:00:00
2021/4/11,10:00,535,2021-04-11 10:00:00
2021/4/11,11:00,533,2021-04-11 11:00:00
2021/4/11,12:00,538,2021-04-11 12:00:00
2021/4/11,13:00,531,2021-04-11 13:00:00
2021/4/11,14:00,518,2021-04-11 14:00:00
2021/4/11,15:00,514,2021-04-11 15:00:00
2021/4/11,16:00,535,2021-04-11 16:00:00
2021/4/11,17:00,577,2021-04-11 17:00:00
2021/4/11,18:00,612,2021-04-11 18:00:00
2021/4/11,19:00,628,2021-04-11 19:00:00
2021/4/11,20:00,609,2021-04-11 20:00:00
2021/4/11,21:00,592,2021-04-11 21:00:00
2021/4/11,22:00,560,2021-04-11 22:00:00
2021/4/11,23:00,532,2021-04-11 23:00:00
2021/4/12,0:00,518,2021-04-12 0:00:00
2021/4/12,1:00,534,2021-04-12 1:00:00
2021/4/12,2:00,578,2021-04-12 2:00:00
2021/4/12,3:00,625,2021-04-12 3:00:00
2021/4/12,4:00,643,2021-04-12 4:00:00
2021/4/12,5:00,654,2021-04-12 5:00:00
2021/4/12,6:00,652,2021-04-12 6:00:00
2021/4/12,7:00,640,2021-04-12 7:00:00
2021/4/12,8:00,663,2021-04-12 8:00:00
2021/4/12,9:00,688,2021-04-12 9:00:00
2021/4/12,10:00,672,2021-04-12 10:00:00
2021/4/12,11:00,673,2021-04-12 11:00:00
2021/4/12,12:00,648,2021-04-12 12:00:00
2021/4/12,13:00,685,2021-04-12 13:00:00
2021/4/12,14:00,685,2021-04-12 14:00:00
