DATE_TIME,エリア需要〔MWh〕,原子力〔MWh〕,火力〔MWh〕,水力〔MWh〕,地熱〔MWh〕,バイオマス〔MWh〕,太陽光実績〔MWh〕,風力実績〔MWh〕
2019/4/1 0:00,13046,4129,8810,657,0,0,0,45
2019/4/1 1:00,12903,4129,9135,549,0,0,0,50
2019/4/1 2:00,13388,4129,9675,493,0,0,0,54
2019/4/1 3:00,13662,4129,9767,454,0,0,0,52
2019/4/1 4:00,13647,4129,9813,449,0,0,0,57
2019/4/1 5:00,13825,4130,9846,446,0,0,4,52
2019/4/1 6:00,14892,4129,9785,450,0,0,352,48
2019/4/1 7:00,16114,4130,9208,526,0,0,1137,51
2019/4/1 8:00,17720,4130,8917,1086,0,0,1889,58
2019/4/1 9:00,18650,4130,8716,1155,0,0,2185,61
2019/4/1 10:00,18704,4130,8456,856,0,0,2693,65
2019/4/1 11:00,18802,4132,8738,673,0,0,2882,77
2019/4/1 12:00,17827,4131,8565,653,0,0,2742,76
2019/4/1 13:00,18614,4131,8939,673,0,0,2633,78
2019/4/1 14:00,18585,4131,9213,735,0,0,2068,86
2019/4/1 15:00,18469,4131,9745,901,0,0,1673,97
2019/4/1 16:00,18866,4131,11130,1250,0,0,928,91
2019/4/1 17:00,19041,4130,11536,1665,0,0,349,97
2019/4/1 18:00,19442,4130,11642,1825,0,0,12,114
2019/4/1 19:00,19218,4130,11303,1724,0,0,0,117
2019/4/1 20:00,18796,4131,11711,1562,0,0,0,116
2019/4/1 21:00,18189,4131,12010,1070,0,0,0,111
2019/4/1 22:00,17281,4131,11768,873,0,0,0,101
2019/4/1 23:00,16385,4131,11514,734,0,0,0,89
2019/4/2 0:00,15359,4130,11203,474,0,0,0,74
2019/4/2 1:00,14982,4130,10973,443,0,0,0,68
2019/4/2 2:00,15304,4130,10975,407,0,0,0,74
2019/4/2 3:00,15446,4130,11374,396,0,0,0,59
2019/4/2 4:00,15246,4130,11191,396,0,0,0,62
2019/4/2 5:00,15272,4130,11198,396,0,0,5,67
2019/4/2 6:00,16550,4130,11521,397,0,0,403,52
2019/4/2 7:00,17758,4131,11327,473,0,0,1399,41
2019/4/2 8:00,19204,4130,11296,763,0,0,2417,50
2019/4/2 9:00,19976,4130,10991,829,0,0,3262,59
2019/4/2 10:00,19997,4130,10236,829,0,0,3512,63
2019/4/2 11:00,19838,4130,9796,603,0,0,3244,74
2019/4/2 12:00,18714,4130,9447,513,0,0,2610,81
