DATE,TIME,当日実績(万kW),
2019/8/21,0:00,915,
2019/8/21,1:00,870,
2019/8/21,2:00,867,
2019/8/21,3:00,894,
2019/8/21,4:00,922,
2019/8/21,5:00,933,
2019/8/21,6:00,940,
2019/8/21,7:00,1005,
2019/8/21,8:00,1141,
2019/8/21,9:00,1276,
2019/8/21,10:00,1332,
2019/8/21,11:00,1371,
2019/8/21,12:00,1358,
2019/8/21,13:00,1407,
2019/8/21,14:00,1413,
2019/8/21,15:00,1401,
2019/8/21,16:00,1412,
2019/8/21,17:00,1383,
2019/8/21,18:00,1354,
2019/8/21,19:00,1319,
2019/8/21,20:00,1245,
2019/8/21,21:00,1166,
2019/8/21,22:00,1091,
2019/8/21,23:00,1026,
,,,
