DATE,TIME,当日実績(万kW),
2019/4/23,0:00,743,
2019/4/23,1:00,734,
2019/4/23,2:00,775,
2019/4/23,3:00,831,
2019/4/23,4:00,859,
2019/4/23,5:00,851,
2019/4/23,6:00,830,
2019/4/23,7:00,838,
2019/4/23,8:00,891,
2019/4/23,9:00,943,
2019/4/23,10:00,962,
2019/4/23,11:00,962,
2019/4/23,12:00,915,
2019/4/23,13:00,963,
2019/4/23,14:00,977,
2019/4/23,15:00,978,
2019/4/23,16:00,990,
2019/4/23,17:00,991,
2019/4/23,18:00,992,
2019/4/23,19:00,970,
2019/4/23,20:00,928,
2019/4/23,21:00,882,
2019/4/23,22:00,841,
2019/4/23,23:00,798,
,,,
