DATE,TIME,当日実績(万kW),
2019/7/23,0:00,896,
2019/7/23,1:00,849,
2019/7/23,2:00,846,
2019/7/23,3:00,878,
2019/7/23,4:00,915,
2019/7/23,5:00,924,
2019/7/23,6:00,922,
2019/7/23,7:00,979,
2019/7/23,8:00,1104,
2019/7/23,9:00,1209,
2019/7/23,10:00,1255,
2019/7/23,11:00,1287,
2019/7/23,12:00,1243,
2019/7/23,13:00,1299,
2019/7/23,14:00,1302,
2019/7/23,15:00,1316,
2019/7/23,16:00,1311,
2019/7/23,17:00,1278,
2019/7/23,18:00,1259,
2019/7/23,19:00,1238,
2019/7/23,20:00,1176,
2019/7/23,21:00,1114,
2019/7/23,22:00,1052,
2019/7/23,23:00,993,
,,,
