DATE,TIME,当日実績(万kW),
2019/7/26,0:00,942,
2019/7/26,1:00,882,
2019/7/26,2:00,875,
2019/7/26,3:00,901,
2019/7/26,4:00,930,
2019/7/26,5:00,938,
2019/7/26,6:00,954,
2019/7/26,7:00,1033,
2019/7/26,8:00,1179,
2019/7/26,9:00,1301,
2019/7/26,10:00,1376,
2019/7/26,11:00,1418,
2019/7/26,12:00,1419,
2019/7/26,13:00,1446,
2019/7/26,14:00,1451,
2019/7/26,15:00,1435,
2019/7/26,16:00,1431,
2019/7/26,17:00,1399,
2019/7/26,18:00,1357,
2019/7/26,19:00,1305,
2019/7/26,20:00,1249,
2019/7/26,21:00,1184,
2019/7/26,22:00,1112,
2019/7/26,23:00,1044,
,,,
