DATE,TIME,当日実績(万kW)
2023/7/10,0:00,825
2023/7/10,1:00,774
2023/7/10,2:00,779
2023/7/10,3:00,814
2023/7/10,4:00,855
2023/7/10,5:00,884
2023/7/10,6:00,895
2023/7/10,7:00,943
2023/7/10,8:00,1066
2023/7/10,9:00,1168
2023/7/10,10:00,1198
2023/7/10,11:00,1212
2023/7/10,12:00,1173
2023/7/10,13:00,1213
2023/7/10,14:00,1234
2023/7/10,15:00,1213
2023/7/10,16:00,1217
2023/7/10,17:00,1198
2023/7/10,18:00,1194
2023/7/10,19:00,1159
2023/7/10,20:00,1105
2023/7/10,21:00,1044
2023/7/10,22:00,990
2023/7/10,23:00,943
