DATE,TIME,当日実績(万kW),
2019/6/25,0:00,772,
2019/6/25,1:00,744,
2019/6/25,2:00,763,
2019/6/25,3:00,809,
2019/6/25,4:00,850,
2019/6/25,5:00,855,
2019/6/25,6:00,857,
2019/6/25,7:00,876,
2019/6/25,8:00,948,
2019/6/25,9:00,1039,
2019/6/25,10:00,1092,
2019/6/25,11:00,1145,
2019/6/25,12:00,1113,
2019/6/25,13:00,1165,
2019/6/25,14:00,1164,
2019/6/25,15:00,1170,
2019/6/25,16:00,1157,
2019/6/25,17:00,1133,
2019/6/25,18:00,1109,
2019/6/25,19:00,1079,
2019/6/25,20:00,1039,
2019/6/25,21:00,979,
2019/6/25,22:00,932,
2019/6/25,23:00,879,
,,,
