DATE,TIME,当日実績(万kW),
2019/7/30,0:00,932,
2019/7/30,1:00,890,
2019/7/30,2:00,883,
2019/7/30,3:00,906,
2019/7/30,4:00,937,
2019/7/30,5:00,952,
2019/7/30,6:00,981,
2019/7/30,7:00,1063,
2019/7/30,8:00,1224,
2019/7/30,9:00,1353,
2019/7/30,10:00,1400,
2019/7/30,11:00,1466,
2019/7/30,12:00,1453,
2019/7/30,13:00,1485,
2019/7/30,14:00,1491,
2019/7/30,15:00,1495,
2019/7/30,16:00,1504,
2019/7/30,17:00,1472,
2019/7/30,18:00,1434,
2019/7/30,19:00,1393,
2019/7/30,20:00,1318,
2019/7/30,21:00,1237,
2019/7/30,22:00,1160,
2019/7/30,23:00,1073,
,,,
