DATE,TIME,当日実績(万kW),
2019/8/24,0:00,892,
2019/8/24,1:00,842,
2019/8/24,2:00,842,
2019/8/24,3:00,864,
2019/8/24,4:00,885,
2019/8/24,5:00,893,
2019/8/24,6:00,878,
2019/8/24,7:00,898,
2019/8/24,8:00,988,
2019/8/24,9:00,1060,
2019/8/24,10:00,1094,
2019/8/24,11:00,1098,
2019/8/24,12:00,1074,
2019/8/24,13:00,1066,
2019/8/24,14:00,1051,
2019/8/24,15:00,1031,
2019/8/24,16:00,1033,
2019/8/24,17:00,1027,
2019/8/24,18:00,1012,
2019/8/24,19:00,990,
2019/8/24,20:00,937,
2019/8/24,21:00,896,
2019/8/24,22:00,856,
2019/8/24,23:00,822,
,,,
