DATE,TIME,当日実績(万kW),
2019/5/21,0:00,736,
2019/5/21,1:00,721,
2019/5/21,2:00,761,
2019/5/21,3:00,818,
2019/5/21,4:00,860,
2019/5/21,5:00,861,
2019/5/21,6:00,836,
2019/5/21,7:00,826,
2019/5/21,8:00,861,
2019/5/21,9:00,906,
2019/5/21,10:00,953,
2019/5/21,11:00,988,
2019/5/21,12:00,959,
2019/5/21,13:00,987,
2019/5/21,14:00,976,
2019/5/21,15:00,959,
2019/5/21,16:00,966,
2019/5/21,17:00,964,
2019/5/21,18:00,947,
2019/5/21,19:00,935,
2019/5/21,20:00,905,
2019/5/21,21:00,867,
2019/5/21,22:00,826,
2019/5/21,23:00,783,
,,,
