DATE,TIME,当日実績(万kW),
2019/4/10,0:00,758,
2019/4/10,1:00,758,
2019/4/10,2:00,806,
2019/4/10,3:00,860,
2019/4/10,4:00,877,
2019/4/10,5:00,863,
2019/4/10,6:00,855,
2019/4/10,7:00,879,
2019/4/10,8:00,929,
2019/4/10,9:00,963,
2019/4/10,10:00,964,
2019/4/10,11:00,985,
2019/4/10,12:00,924,
2019/4/10,13:00,941,
2019/4/10,14:00,948,
2019/4/10,15:00,945,
2019/4/10,16:00,950,
2019/4/10,17:00,961,
2019/4/10,18:00,995,
2019/4/10,19:00,998,
2019/4/10,20:00,961,
2019/4/10,21:00,919,
2019/4/10,22:00,871,
2019/4/10,23:00,827,
,,,
