DATE,TIME,当日実績(万kW)
2021/1/30,0:00,1082
2021/1/30,1:00,1080
2021/1/30,2:00,1108
2021/1/30,3:00,1131
2021/1/30,4:00,1129
2021/1/30,5:00,1119
2021/1/30,6:00,1144
2021/1/30,7:00,1219
2021/1/30,8:00,1257
2021/1/30,9:00,1193
2021/1/30,10:00,1126
2021/1/30,11:00,1098
2021/1/30,12:00,1058
2021/1/30,13:00,1029
2021/1/30,14:00,989
2021/1/30,15:00,987
2021/1/30,16:00,1026
2021/1/30,17:00,1098
2021/1/30,18:00,1184
2021/1/30,19:00,1177
2021/1/30,20:00,1138
2021/1/30,21:00,1092
2021/1/30,22:00,1048
2021/1/30,23:00,1002
