DATE,TIME,当日実績(万kW),
2019/5/29,0:00,749,
2019/5/29,1:00,732,
2019/5/29,2:00,759,
2019/5/29,3:00,817,
2019/5/29,4:00,860,
2019/5/29,5:00,857,
2019/5/29,6:00,823,
2019/5/29,7:00,813,
2019/5/29,8:00,852,
2019/5/29,9:00,910,
2019/5/29,10:00,929,
2019/5/29,11:00,969,
2019/5/29,12:00,943,
2019/5/29,13:00,987,
2019/5/29,14:00,994,
2019/5/29,15:00,994,
2019/5/29,16:00,1007,
2019/5/29,17:00,995,
2019/5/29,18:00,980,
2019/5/29,19:00,962,
2019/5/29,20:00,926,
2019/5/29,21:00,885,
2019/5/29,22:00,841,
2019/5/29,23:00,791,
,,,
