DATE,TIME,当日実績(万kW)
2023/7/20,0:00,919
2023/7/20,1:00,862
2023/7/20,2:00,858
2023/7/20,3:00,880
2023/7/20,4:00,910
2023/7/20,5:00,938
2023/7/20,6:00,943
2023/7/20,7:00,991
2023/7/20,8:00,1115
2023/7/20,9:00,1198
2023/7/20,10:00,1229
2023/7/20,11:00,1260
2023/7/20,12:00,1275
2023/7/20,13:00,1304
2023/7/20,14:00,1314
2023/7/20,15:00,1315
2023/7/20,16:00,1307
2023/7/20,17:00,1266
2023/7/20,18:00,1244
2023/7/20,19:00,1216
2023/7/20,20:00,1155
2023/7/20,21:00,1085
2023/7/20,22:00,1034
2023/7/20,23:00,973
