DATE,TIME,当日実績(万kW),
2019/7/13,0:00,838,
2019/7/13,1:00,798,
2019/7/13,2:00,802,
2019/7/13,3:00,840,
2019/7/13,4:00,874,
2019/7/13,5:00,866,
2019/7/13,6:00,834,
2019/7/13,7:00,834,
2019/7/13,8:00,887,
2019/7/13,9:00,938,
2019/7/13,10:00,963,
2019/7/13,11:00,964,
2019/7/13,12:00,946,
2019/7/13,13:00,950,
2019/7/13,14:00,948,
2019/7/13,15:00,943,
2019/7/13,16:00,947,
2019/7/13,17:00,952,
2019/7/13,18:00,971,
2019/7/13,19:00,960,
2019/7/13,20:00,930,
2019/7/13,21:00,900,
2019/7/13,22:00,869,
2019/7/13,23:00,835,
,,,
