DATE,TIME,当日実績(万kW),
2019/9/2,0:00,760,
2019/9/2,1:00,726,
2019/9/2,2:00,740,
2019/9/2,3:00,787,
2019/9/2,4:00,832,
2019/9/2,5:00,843,
2019/9/2,6:00,852,
2019/9/2,7:00,902,
2019/9/2,8:00,996,
2019/9/2,9:00,1093,
2019/9/2,10:00,1136,
2019/9/2,11:00,1153,
2019/9/2,12:00,1105,
2019/9/2,13:00,1150,
2019/9/2,14:00,1161,
2019/9/2,15:00,1173,
2019/9/2,16:00,1195,
2019/9/2,17:00,1189,
2019/9/2,18:00,1186,
2019/9/2,19:00,1156,
2019/9/2,20:00,1088,
2019/9/2,21:00,1025,
2019/9/2,22:00,972,
2019/9/2,23:00,918,
,,,
