DATE,TIME,当日実績(万kW)
2022/6/20,0:00,763
2022/6/20,1:00,726
2022/6/20,2:00,739
2022/6/20,3:00,789
2022/6/20,4:00,832
2022/6/20,5:00,847
2022/6/20,6:00,846
2022/6/20,7:00,889
2022/6/20,8:00,994
2022/6/20,9:00,1077
2022/6/20,10:00,1100
2022/6/20,11:00,1135
2022/6/20,12:00,1108
2022/6/20,13:00,1135
2022/6/20,14:00,1157
2022/6/20,15:00,1151
2022/6/20,16:00,1144
2022/6/20,17:00,1115
2022/6/20,18:00,1098
2022/6/20,19:00,1077
2022/6/20,20:00,1025
2022/6/20,21:00,972
2022/6/20,22:00,934
2022/6/20,23:00,890
