DATE,TIME,当日実績(万kW)
2019/10/08,00:00,1271
2019/10/08,01:00,1220
2019/10/08,02:00,1217
2019/10/08,03:00,1251
2019/10/08,04:00,1268
2019/10/08,05:00,1274
2019/10/08,06:00,1326
2019/10/08,07:00,1432
2019/10/08,08:00,1665
2019/10/08,09:00,1797
2019/10/08,10:00,1836
2019/10/08,11:00,1822
2019/10/08,12:00,1689
2019/10/08,13:00,1802
2019/10/08,14:00,1820
2019/10/08,15:00,1793
2019/10/08,16:00,1788
2019/10/08,17:00,1750
2019/10/08,18:00,1695
2019/10/08,19:00,1605
2019/10/08,20:00,1520
2019/10/08,21:00,1472
2019/10/08,22:00,1414
2019/10/08,23:00,1359
