DATE,TIME,当日実績(万kW)
2019/10/05,00:00,1285
2019/10/05,01:00,1216
2019/10/05,02:00,1203
2019/10/05,03:00,1221
2019/10/05,04:00,1206
2019/10/05,05:00,1178
2019/10/05,06:00,1174
2019/10/05,07:00,1227
2019/10/05,08:00,1327
2019/10/05,09:00,1406
2019/10/05,10:00,1443
2019/10/05,11:00,1470
2019/10/05,12:00,1454
2019/10/05,13:00,1492
2019/10/05,14:00,1502
2019/10/05,15:00,1479
2019/10/05,16:00,1454
2019/10/05,17:00,1429
2019/10/05,18:00,1433
2019/10/05,19:00,1366
2019/10/05,20:00,1305
2019/10/05,21:00,1232
2019/10/05,22:00,1173
2019/10/05,23:00,1135
