DATE,TIME,当日実績(万kW)
2019/10/12,00:00,1283
2019/10/12,01:00,1205
2019/10/12,02:00,1183
2019/10/12,03:00,1188
2019/10/12,04:00,1170
2019/10/12,05:00,1120
2019/10/12,06:00,1079
2019/10/12,07:00,1092
2019/10/12,08:00,1138
2019/10/12,09:00,1173
2019/10/12,10:00,1178
2019/10/12,11:00,1177
2019/10/12,12:00,1153
2019/10/12,13:00,1114
2019/10/12,14:00,1090
2019/10/12,15:00,1072
2019/10/12,16:00,1092
2019/10/12,17:00,1134
2019/10/12,18:00,1125
2019/10/12,19:00,1096
2019/10/12,20:00,1070
2019/10/12,21:00,1038
2019/10/12,22:00,1028
2019/10/12,23:00,1020
