DATE,TIME,当日実績(万kW),
2019/06/29,00:00,94,
2019/06/29,01:00,89,
2019/06/29,02:00,88,
2019/06/29,03:00,87,
2019/06/29,04:00,87,
2019/06/29,05:00,87,
2019/06/29,06:00,86,
2019/06/29,07:00,94,
2019/06/29,08:00,108,
2019/06/29,09:00,116,
2019/06/29,10:00,120,
2019/06/29,11:00,122,
2019/06/29,12:00,123,
2019/06/29,13:00,125,
2019/06/29,14:00,126,
2019/06/29,15:00,125,
2019/06/29,16:00,125,
2019/06/29,17:00,125,
2019/06/29,18:00,123,
2019/06/29,19:00,126,
2019/06/29,20:00,125,
2019/06/29,21:00,121,
2019/06/29,22:00,115,
2019/06/29,23:00,109,
