DATE,TIME,当日実績(万kW)
2023/05/06,00:00,74
2023/05/06,01:00,71
2023/05/06,02:00,71
2023/05/06,03:00,73
2023/05/06,04:00,74
2023/05/06,05:00,73
2023/05/06,06:00,71
2023/05/06,07:00,75
2023/05/06,08:00,85
2023/05/06,09:00,91
2023/05/06,10:00,94
2023/05/06,11:00,98
2023/05/06,12:00,96
2023/05/06,13:00,95
2023/05/06,14:00,97
2023/05/06,15:00,96
2023/05/06,16:00,94
2023/05/06,17:00,95
2023/05/06,18:00,96
2023/05/06,19:00,98
2023/05/06,20:00,96
2023/05/06,21:00,91
2023/05/06,22:00,86
2023/05/06,23:00,82
