DATE,TIME,当日実績(万kW),
2019/07/26,00:00,100,
2019/07/26,01:00,94,
2019/07/26,02:00,93,
2019/07/26,03:00,92,
2019/07/26,04:00,91,
2019/07/26,05:00,92,
2019/07/26,06:00,95,
2019/07/26,07:00,108,
2019/07/26,08:00,122,
2019/07/26,09:00,132,
2019/07/26,10:00,133,
2019/07/26,11:00,132,
2019/07/26,12:00,136,
2019/07/26,13:00,137,
2019/07/26,14:00,139,
2019/07/26,15:00,136,
2019/07/26,16:00,133,
2019/07/26,17:00,135,
2019/07/26,18:00,134,
2019/07/26,19:00,132,
2019/07/26,20:00,131,
2019/07/26,21:00,125,
2019/07/26,22:00,118,
2019/07/26,23:00,110,
