DATE,TIME,当日実績(万kW),
2019/04/03,00:00,62,
2019/04/03,01:00,60,
2019/04/03,02:00,62,
2019/04/03,03:00,65,
2019/04/03,04:00,66,
2019/04/03,05:00,64,
2019/04/03,06:00,65,
2019/04/03,07:00,70,
2019/04/03,08:00,75,
2019/04/03,09:00,79,
2019/04/03,10:00,78,
2019/04/03,11:00,79,
2019/04/03,12:00,76,
2019/04/03,13:00,78,
2019/04/03,14:00,79,
2019/04/03,15:00,79,
2019/04/03,16:00,80,
2019/04/03,17:00,80,
2019/04/03,18:00,83,
2019/04/03,19:00,85,
2019/04/03,20:00,83,
2019/04/03,21:00,79,
2019/04/03,22:00,73,
2019/04/03,23:00,67,
