DATE,TIME,当日実績(万kW),
2019/05/08,00:00,68,
2019/05/08,01:00,65,
2019/05/08,02:00,66,
2019/05/08,03:00,68,
2019/05/08,04:00,69,
2019/05/08,05:00,69,
2019/05/08,06:00,69,
2019/05/08,07:00,75,
2019/05/08,08:00,84,
2019/05/08,09:00,90,
2019/05/08,10:00,93,
2019/05/08,11:00,92,
2019/05/08,12:00,89,
2019/05/08,13:00,94,
2019/05/08,14:00,98,
2019/05/08,15:00,97,
2019/05/08,16:00,96,
2019/05/08,17:00,94,
2019/05/08,18:00,93,
2019/05/08,19:00,95,
2019/05/08,20:00,93,
2019/05/08,21:00,88,
2019/05/08,22:00,82,
2019/05/08,23:00,76,
