DATE,TIME,当日実績(万kW),
2019/08/29,00:00,103,
2019/08/29,01:00,97,
2019/08/29,02:00,95,
2019/08/29,03:00,95,
2019/08/29,04:00,94,
2019/08/29,05:00,95,
2019/08/29,06:00,98,
2019/08/29,07:00,110,
2019/08/29,08:00,127,
2019/08/29,09:00,138,
2019/08/29,10:00,143,
2019/08/29,11:00,145,
2019/08/29,12:00,145,
2019/08/29,13:00,145,
2019/08/29,14:00,143,
2019/08/29,15:00,143,
2019/08/29,16:00,142,
2019/08/29,17:00,139,
2019/08/29,18:00,137,
2019/08/29,19:00,139,
2019/08/29,20:00,135,
2019/08/29,21:00,129,
2019/08/29,22:00,120,
2019/08/29,23:00,111,
