DATE,TIME,当日実績(万kW),
2019/08/11,00:00,100,
2019/08/11,01:00,96,
2019/08/11,02:00,94,
2019/08/11,03:00,94,
2019/08/11,04:00,94,
2019/08/11,05:00,93,
2019/08/11,06:00,91,
2019/08/11,07:00,97,
2019/08/11,08:00,106,
2019/08/11,09:00,113,
2019/08/11,10:00,119,
2019/08/11,11:00,122,
2019/08/11,12:00,125,
2019/08/11,13:00,127,
2019/08/11,14:00,129,
2019/08/11,15:00,129,
2019/08/11,16:00,125,
2019/08/11,17:00,127,
2019/08/11,18:00,129,
2019/08/11,19:00,133,
2019/08/11,20:00,132,
2019/08/11,21:00,125,
2019/08/11,22:00,118,
2019/08/11,23:00,110,
