DATE,TIME,当日実績(万kW),
2019/05/25,00:00,75,
2019/05/25,01:00,71,
2019/05/25,02:00,72,
2019/05/25,03:00,73,
2019/05/25,04:00,74,
2019/05/25,05:00,72,
2019/05/25,06:00,70,
2019/05/25,07:00,76,
2019/05/25,08:00,82,
2019/05/25,09:00,88,
2019/05/25,10:00,92,
2019/05/25,11:00,93,
2019/05/25,12:00,94,
2019/05/25,13:00,94,
2019/05/25,14:00,95,
2019/05/25,15:00,94,
2019/05/25,16:00,94,
2019/05/25,17:00,94,
2019/05/25,18:00,92,
2019/05/25,19:00,95,
2019/05/25,20:00,93,
2019/05/25,21:00,89,
2019/05/25,22:00,85,
2019/05/25,23:00,80,
