DATE,TIME,当日実績(万kW)
2020/05/25,00:00,74
2020/05/25,01:00,71
2020/05/25,02:00,72
2020/05/25,03:00,74
2020/05/25,04:00,75
2020/05/25,05:00,73
2020/05/25,06:00,73
2020/05/25,07:00,82
2020/05/25,08:00,90
2020/05/25,09:00,97
2020/05/25,10:00,99
2020/05/25,11:00,101
2020/05/25,12:00,100
2020/05/25,13:00,102
2020/05/25,14:00,102
2020/05/25,15:00,101
2020/05/25,16:00,96
2020/05/25,17:00,95
2020/05/25,18:00,95
2020/05/25,19:00,97
2020/05/25,20:00,95
2020/05/25,21:00,90
2020/05/25,22:00,86
2020/05/25,23:00,81
