DATE,TIME,当日実績(万kW),
2019/08/13,00:00,107,
2019/08/13,01:00,101,
2019/08/13,02:00,100,
2019/08/13,03:00,99,
2019/08/13,04:00,99,
2019/08/13,05:00,100,
2019/08/13,06:00,103,
2019/08/13,07:00,110,
2019/08/13,08:00,125,
2019/08/13,09:00,135,
2019/08/13,10:00,138,
2019/08/13,11:00,142,
2019/08/13,12:00,142,
2019/08/13,13:00,143,
2019/08/13,14:00,144,
2019/08/13,15:00,143,
2019/08/13,16:00,142,
2019/08/13,17:00,139,
2019/08/13,18:00,134,
2019/08/13,19:00,135,
2019/08/13,20:00,133,
2019/08/13,21:00,128,
2019/08/13,22:00,121,
2019/08/13,23:00,113,
