DATE,TIME,当日実績(万kW),
2019/08/31,00:00,108,
2019/08/31,01:00,103,
2019/08/31,02:00,101,
2019/08/31,03:00,100,
2019/08/31,04:00,98,
2019/08/31,05:00,98,
2019/08/31,06:00,98,
2019/08/31,07:00,103,
2019/08/31,08:00,117,
2019/08/31,09:00,125,
2019/08/31,10:00,130,
2019/08/31,11:00,133,
2019/08/31,12:00,132,
2019/08/31,13:00,132,
2019/08/31,14:00,134,
2019/08/31,15:00,135,
2019/08/31,16:00,134,
2019/08/31,17:00,131,
2019/08/31,18:00,130,
2019/08/31,19:00,133,
2019/08/31,20:00,130,
2019/08/31,21:00,126,
2019/08/31,22:00,122,
2019/08/31,23:00,115,
