DATE,TIME,当日実績(万kW)
2020/03/09,00:00,66
2020/03/09,01:00,64
2020/03/09,02:00,66
2020/03/09,03:00,70
2020/03/09,04:00,70
2020/03/09,05:00,69
2020/03/09,06:00,69
2020/03/09,07:00,72
2020/03/09,08:00,79
2020/03/09,09:00,85
2020/03/09,10:00,88
2020/03/09,11:00,87
2020/03/09,12:00,87
2020/03/09,13:00,89
2020/03/09,14:00,89
2020/03/09,15:00,89
2020/03/09,16:00,89
2020/03/09,17:00,88
2020/03/09,18:00,90
2020/03/09,19:00,91
2020/03/09,20:00,88
2020/03/09,21:00,83
2020/03/09,22:00,78
2020/03/09,23:00,73
