DATE,TIME,当日実績(万kW),
2019/04/02,00:00,62,
2019/04/02,01:00,61,
2019/04/02,02:00,62,
2019/04/02,03:00,66,
2019/04/02,04:00,67,
2019/04/02,05:00,66,
2019/04/02,06:00,66,
2019/04/02,07:00,68,
2019/04/02,08:00,75,
2019/04/02,09:00,79,
2019/04/02,10:00,80,
2019/04/02,11:00,81,
2019/04/02,12:00,78,
2019/04/02,13:00,78,
2019/04/02,14:00,80,
2019/04/02,15:00,81,
2019/04/02,16:00,80,
2019/04/02,17:00,78,
2019/04/02,18:00,80,
2019/04/02,19:00,84,
2019/04/02,20:00,82,
2019/04/02,21:00,78,
2019/04/02,22:00,73,
2019/04/02,23:00,67,
