DATE,TIME,当日実績(万kW),
2019/06/21,00:00,86,
2019/06/21,01:00,82,
2019/06/21,02:00,82,
2019/06/21,03:00,83,
2019/06/21,04:00,84,
2019/06/21,05:00,84,
2019/06/21,06:00,87,
2019/06/21,07:00,96,
2019/06/21,08:00,108,
2019/06/21,09:00,113,
2019/06/21,10:00,116,
2019/06/21,11:00,120,
2019/06/21,12:00,121,
2019/06/21,13:00,125,
2019/06/21,14:00,124,
2019/06/21,15:00,125,
2019/06/21,16:00,126,
2019/06/21,17:00,122,
2019/06/21,18:00,121,
2019/06/21,19:00,120,
2019/06/21,20:00,117,
2019/06/21,21:00,113,
2019/06/21,22:00,106,
2019/06/21,23:00,100,
