月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
,,,,,,,,,
2020/4/1,0時,2993,0,2418,284,13,27,0,216
,1時,3117,0,2474,301,14,27,0,214
,2時,3190,0,2531,329,13,27,0,219
,3時,3296,0,2604,383,13,27,0,193
,4時,3369,0,2582,437,13,27,0,163
,5時,3327,0,2599,415,13,27,13,156
,6時,3323,0,2566,329,13,27,120,144
,7時,3214,0,2370,324,13,27,287,134
,8時,3359,0,2364,309,13,27,495,133
,9時,3488,0,2281,279,13,27,736,135
,10時,3461,0,2197,247,14,27,867,114
,11時,3422,0,2290,236,13,27,858,110
,12時,3264,0,2328,213,13,27,848,82
,13時,3305,0,2480,256,13,27,683,62
,14時,3197,0,2448,311,14,27,572,42
,15時,3294,0,2668,380,13,27,364,33
,16時,3467,0,2953,415,14,27,140,36
,17時,3535,0,2844,451,15,27,16,25
,18時,3664,0,2865,463,14,27,0,22
,19時,3566,0,2840,447,14,27,0,23
,20時,3378,0,2792,392,14,27,0,23
,21時,3239,0,2686,380,15,27,0,48
,22時,3080,0,2586,328,14,27,0,52
,23時,3136,0,2614,315,14,27,0,59
2020/4/2,0時,3074,0,2639,303,13,27,0,59
,1時,3163,0,2711,330,14,27,0,84
,2時,3273,0,2748,330,13,27,0,82
,3時,3361,0,2744,420,13,27,0,96
,4時,3429,0,2822,471,13,27,0,88
,5時,3402,0,2776,454,14,27,12,94
,6時,3371,0,2675,334,13,27,64,114
,7時,3343,0,2669,328,13,27,114,122
,8時,3567,0,2806,324,13,27,221,150
,9時,3650,0,2836,296,13,27,291,171
,10時,3566,0,2647,264,14,27,439,199
,11時,3530,0,2695,248,13,27,559,209
,12時,3299,0,2624,231,13,27,646,220
,13時,3464,0,2687,265,13,27,644,225
,14時,3405,0,2752,285,13,27,475,249
,15時,3423,0,2802,333,14,27,312,215
,16時,3555,0,2938,431,14,27,140,196
,17時,3594,0,2948,422,14,27,23,172
,18時,3746,0,2959,424,14,27,0,169
,19時,3683,0,2988,474,15,27,0,147
,20時,3496,0,2911,426,14,27,0,134
,21時,3398,0,2890,374,14,27,0,135
,22時,3207,0,2771,340,15,27,0,134
,23時,3264,0,2845,337,14,27,0,131
2020/4/3,0時,3213,0,2804,347,13,27,0,139
,1時,3307,0,2782,350,13,27,0,162
,2時,3441,0,2748,426,14,27,0,185
,3時,3522,0,2807,448,13,27,0,193
,4時,3582,0,2813,465,13,27,0,187
,5時,3486,0,2871,456,13,27,24,192
,6時,3390,0,2747,298,13,27,267,159
,7時,3172,0,2195,260,13,27,660,130
,8時,3331,0,2192,257,13,27,1023,112
,9時,3378,0,2142,251,13,27,1283,102
,10時,3357,0,1956,246,13,27,1417,129
,11時,3339,0,1970,251,13,27,1441,166
,12時,3115,0,1838,229,13,27,1424,180
,13時,3234,0,2172,241,13,27,1305,162
,14時,3168,0,2260,261,13,27,1057,124
,15時,3222,0,2364,293,13,27,718,97
,16時,3353,0,2692,366,14,27,340,102
,17時,3440,0,2998,370,14,27,51,98
,18時,3621,0,2997,449,15,27,0,73
,19時,3558,0,2837,468,14,27,0,67
,20時,3402,0,2787,393,13,27,0,64
,21時,3241,0,2813,338,14,27,0,59
,22時,3079,0,2627,323,14,27,0,61
,23時,3179,0,2770,337,14,27,0,70
2020/4/4,0時,3076,0,2637,353,13,27,0,85
,1時,3158,0,2644,381,13,27,0,83
,2時,3265,0,2632,435,13,27,0,97
,3時,3349,0,2654,444,13,27,0,114
,4時,3356,0,2605,429,13,27,0,131
,5時,3275,0,2561,433,12,27,22,154
,6時,3103,0,2429,319,13,27,203,177
,7時,2887,0,2159,263,13,27,433,190
,8時,2869,0,1707,260,13,27,854,186
,9時,2964,0,1565,240,13,27,1226,212
,10時,2984,0,1519,233,13,27,1401,233
,11時,3063,0,1552,227,13,27,1394,248
,12時,3047,0,1622,203,13,27,1242,261
,13時,3120,0,1729,213,14,27,1022,275
,14時,3052,0,1747,231,13,27,769,295
,15時,3031,0,2043,285,13,27,455,301
,16時,3108,0,2342,349,14,27,187,301
,17時,3207,0,2505,389,14,27,26,288
,18時,3362,0,2577,438,14,27,0,281
,19時,3315,0,2599,395,14,27,0,255
,20時,3170,0,2550,382,14,27,0,233
,21時,3076,0,2552,335,14,27,0,200
,22時,2930,0,2449,329,14,27,0,205
,23時,2983,0,2501,341,14,27,0,182
2020/4/5,0時,2903,0,2476,343,13,27,0,177
,1時,3045,0,2629,369,13,27,0,135
,2時,3188,0,2711,377,13,27,0,92
,3時,3264,0,2738,402,13,27,0,77
,4時,3285,0,2736,418,13,27,0,95
,5時,3180,0,2678,397,13,27,15,72
,6時,3042,0,2570,369,13,27,105,67
,7時,2849,0,2300,318,13,27,277,66
,8時,2940,0,2321,317,13,27,389,78
,9時,2974,0,2264,330,13,27,538,71
,10時,2939,0,2055,337,13,27,615,73
,11時,2893,0,1935,345,13,27,707,101
,12時,2800,0,1739,328,13,27,728,105
,13時,2902,0,1977,336,13,27,614,108
,14時,2851,0,2129,334,13,27,489,108
,15時,2920,0,2296,346,13,27,349,94
,16時,2981,0,2478,370,14,27,132,95
,17時,3186,0,2659,409,14,27,20,81
,18時,3412,0,2864,478,14,27,0,66
,19時,3378,0,2842,472,14,27,0,61
,20時,3286,0,2820,434,14,27,0,46
,21時,3140,0,2740,385,14,27,0,45
,22時,3001,0,2674,385,14,27,0,36
,23時,3074,0,2740,392,14,27,0,26
2020/4/6,0時,3036,0,2725,370,13,27,0,21
,1時,3144,0,2812,421,13,27,0,21
,2時,3255,0,2837,444,13,27,0,19
,3時,3363,0,2895,488,13,27,0,20
,4時,3446,0,2916,506,13,27,0,49
,5時,3423,0,2847,498,12,27,26,91
,6時,3447,0,2865,412,13,27,182,110
,7時,3403,0,2720,353,13,27,360,118
,8時,3610,0,2652,326,13,27,587,133
,9時,3768,0,2641,306,13,27,846,132
,10時,3607,0,2345,311,13,27,1096,135
,11時,3639,0,2364,311,13,27,1161,156
,12時,3464,0,2108,281,12,27,1210,183
,13時,3566,0,2489,283,13,27,932,178
,14時,3581,0,2610,295,13,27,723,176
,15時,3623,0,2800,359,13,27,390,191
,16時,3698,0,2965,405,14,27,142,175
,17時,3744,0,3072,445,14,27,19,165
,18時,3840,0,3110,500,13,27,0,167
,19時,3760,0,3091,523,14,27,0,185
,20時,3594,0,3057,432,14,27,0,175
,21時,3449,0,3032,391,14,27,0,171
,22時,3229,0,2942,352,14,27,0,171
,23時,3249,0,2865,359,14,27,0,179
2020/4/7,0時,3164,0,2808,342,12,27,0,184
,1時,3258,0,2823,416,13,27,0,181
,2時,3377,0,2859,456,13,27,0,178
,3時,3438,0,2798,482,13,27,0,164
,4時,3492,0,2898,481,13,27,0,155
,5時,3428,0,2888,489,13,27,34,158
,6時,3370,0,2742,414,13,27,246,136
,7時,3339,0,2640,296,12,27,501,116
,8時,3611,0,2820,288,13,27,660,115
,9時,3779,0,2961,264,13,27,797,122
,10時,3785,0,2876,262,13,27,934,136
,11時,3705,0,2788,259,13,27,1084,146
,12時,3532,0,2848,222,13,27,951,157
,13時,3748,0,2919,248,13,27,736,150
,14時,3584,0,2897,281,13,27,581,136
,15時,3545,0,2939,297,12,27,424,133
,16時,3588,0,2982,365,14,27,181,111
,17時,3621,0,2990,390,14,27,33,106
,18時,3754,0,3098,450,14,27,0,94
,19時,3705,0,3080,444,14,27,0,84
,20時,3533,0,3006,390,13,27,0,72
,21時,3411,0,2964,331,14,27,0,53
,22時,3205,0,2868,273,14,27,0,40
,23時,3249,0,2909,278,14,27,0,29
2020/4/8,0時,3151,0,2847,263,14,27,0,23
,1時,3263,0,2855,295,14,27,0,43
,2時,3401,0,2950,325,14,27,0,44
,3時,3519,0,3019,396,13,27,0,40
,4時,3565,0,2990,452,14,27,0,60
,5時,3462,0,2919,410,14,27,31,76
,6時,3410,0,2859,337,14,27,229,57
,7時,3227,0,2508,260,14,27,610,87
,8時,3298,0,2464,237,14,27,985,98
,9時,3376,0,2155,210,14,27,1185,89
,10時,3342,0,1916,187,14,27,1281,81
,11時,3333,0,1904,198,15,27,1310,101
,12時,3141,0,1820,182,14,27,1229,128
,13時,3241,0,1996,209,14,27,1098,148
