月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
,,,,,,,,,
2019/4/1,0時,3415,0,2706,223,14,15,0,38
,1時,3549,0,2807,244,14,15,0,36
,2時,3692,0,2935,260,14,15,0,34
,3時,3791,0,2974,346,14,15,0,30
,4時,3809,0,2948,376,14,15,0,28
,5時,3780,0,2943,365,14,15,15,26
,6時,3671,0,2997,323,14,15,161,16
,7時,3412,0,2760,256,13,15,416,11
,8時,3492,0,2448,229,14,15,704,14
,9時,3532,0,2359,228,14,15,892,13
,10時,3538,0,2337,208,14,15,1036,13
,11時,3546,0,2322,223,14,15,1037,20
,12時,3360,0,2367,205,14,15,961,23
,13時,3483,0,2475,227,14,15,824,33
,14時,3525,0,2729,252,14,15,561,40
,15時,3626,0,2846,275,13,15,310,40
,16時,3723,0,3161,314,13,15,117,34
,17時,3810,0,3381,397,12,15,16,23
,18時,3965,0,3427,451,13,15,0,15
,19時,3893,0,3428,429,12,15,0,13
,20時,3747,0,3410,373,13,15,0,13
,21時,3625,0,3377,348,13,15,0,23
,22時,3441,0,3270,317,12,15,0,34
,23時,3503,0,3120,318,13,15,0,53
2019/4/2,0時,3424,0,2687,262,11,15,0,59
,1時,3544,0,2740,281,12,15,0,62
,2時,3693,0,2861,296,11,15,0,72
,3時,3835,0,2959,347,12,15,0,50
,4時,3883,0,2882,405,11,15,0,45
,5時,3829,0,2841,401,12,15,11,30
,6時,3800,0,3166,336,11,15,80,34
,7時,3659,0,3183,232,11,15,199,47
,8時,3730,0,2927,192,12,15,444,53
,9時,3738,0,2656,179,11,15,685,61
,10時,3715,0,2597,175,12,15,739,61
,11時,3769,0,2763,193,12,15,658,49
,12時,3583,0,2694,167,13,15,780,28
,13時,3749,0,2741,189,13,15,753,34
,14時,3731,0,2833,226,13,15,490,64
,15時,3701,0,2885,245,13,15,355,72
,16時,3790,0,3156,294,12,15,158,83
,17時,3884,0,3377,347,13,15,23,90
,18時,4039,0,3384,393,13,15,0,92
,19時,3984,0,3386,348,13,15,0,96
,20時,3858,0,3298,295,13,15,0,102
,21時,3702,0,3157,227,12,15,0,85
,22時,3513,0,3044,195,13,15,0,99
,23時,3628,0,2886,212,13,15,0,86
2019/4/3,0時,3572,0,2940,189,11,15,0,90
,1時,3687,0,2970,204,12,15,0,72
,2時,3837,0,3119,224,12,15,0,54
,3時,3904,0,3098,290,12,15,0,43
,4時,3956,0,3095,353,11,15,0,40
,5時,3921,0,3065,349,12,15,14,32
,6時,3858,0,3208,281,12,15,123,31
,7時,3667,0,3100,224,12,15,302,34
,8時,3657,0,2829,183,11,15,532,44
,9時,3734,0,2651,179,12,15,801,51
,10時,3718,0,2710,172,13,15,846,52
,11時,3743,0,2616,183,12,15,962,62
,12時,3408,0,2505,164,12,15,951,87
,13時,3512,0,2606,190,13,15,883,97
,14時,3458,0,2616,227,14,15,734,99
,15時,3545,0,2714,245,13,15,453,110
,16時,3661,0,3097,303,13,15,202,96
,17時,3740,0,3381,394,14,15,30,82
,18時,3945,0,3458,438,13,15,0,66
,19時,3887,0,3378,401,13,15,0,73
,20時,3727,0,3190,295,13,15,0,75
,21時,3582,0,3068,209,13,15,0,81
,22時,3359,0,2840,199,13,15,0,85
,23時,3522,0,2836,211,14,15,0,89
2019/4/4,0時,3443,0,2652,189,12,15,0,84
,1時,3595,0,2769,209,12,15,0,81
,2時,3741,0,2833,243,12,15,0,73
,3時,3825,0,2773,346,12,15,0,64
,4時,3901,0,2805,402,12,15,0,53
,5時,3822,0,2775,362,12,15,17,49
,6時,3667,0,2796,310,12,15,190,44
,7時,3429,0,2203,227,12,15,516,42
,8時,3447,0,2064,180,12,15,832,53
,9時,3517,0,2020,178,12,15,1032,73
,10時,3483,0,2004,167,12,15,1137,104
,11時,3483,0,1992,183,12,15,1168,106
,12時,3265,0,1959,166,13,15,1107,108
,13時,3413,0,1994,188,12,15,984,85
,14時,3364,0,2145,224,13,15,707,56
,15時,3424,0,2392,237,13,15,379,54
,16時,3617,0,2630,285,13,15,145,59
,17時,3674,0,2810,356,13,15,17,68
,18時,3844,0,2991,375,13,15,0,54
,19時,3787,0,3019,339,13,15,0,52
,20時,3620,0,2991,240,13,15,0,55
,21時,3491,0,2892,214,13,15,0,47
,22時,3358,0,2830,208,13,15,0,39
,23時,3472,0,2714,229,13,15,0,27
2019/4/5,0時,3407,0,2753,119,12,15,0,19
,1時,3528,0,2838,132,12,15,0,27
,2時,3675,0,2868,185,12,15,0,24
,3時,3776,0,2830,309,12,15,0,30
,4時,3831,0,2802,364,12,15,0,29
,5時,3789,0,2824,319,12,15,19,38
,6時,3705,0,2781,249,12,15,166,67
,7時,3543,0,2516,155,12,15,341,86
,8時,3806,0,2684,130,12,15,404,108
,9時,4078,0,2867,130,12,15,456,117
,10時,4093,0,2920,115,12,15,398,110
,11時,4016,0,2955,126,13,15,307,123
,12時,3806,0,2809,109,12,15,313,115
,13時,3972,0,2945,137,11,15,274,99
,14時,3876,0,2937,164,13,15,221,93
,15時,3863,0,2973,185,13,15,152,80
,16時,3865,0,3012,252,13,15,62,77
,17時,3845,0,3013,284,13,15,11,95
,18時,3931,0,3035,284,13,15,0,138
,19時,3854,0,3009,234,13,15,0,140
,20時,3686,0,2928,185,14,15,0,133
,21時,3592,0,2846,187,13,15,0,130
,22時,3455,0,2714,176,13,15,0,151
,23時,3599,0,2803,185,13,15,0,189
2019/4/6,0時,3587,0,2764,170,12,15,0,208
,1時,3718,0,2837,186,12,15,0,215
,2時,3822,0,2785,212,12,15,0,231
,3時,3856,0,2783,258,12,15,0,237
,4時,3883,0,2702,366,12,15,0,258
,5時,3753,0,2577,332,12,15,21,256
,6時,3636,0,2513,221,12,15,141,251
,7時,3456,0,2254,182,12,15,314,249
,8時,3577,0,2364,167,12,15,419,230
,9時,3721,0,2464,151,12,15,489,211
,10時,3756,0,2435,136,12,15,561,209
,11時,3711,0,2421,127,12,15,634,222
,12時,3429,0,2220,117,12,15,741,225
,13時,3410,0,2369,133,12,15,718,228
,14時,3281,0,2241,151,13,15,721,230
,15時,3257,0,2375,164,13,15,488,201
,16時,3358,0,2403,217,13,15,226,185
,17時,3444,0,2626,238,13,15,31,174
,18時,3678,0,2812,264,13,15,0,157
,19時,3686,0,2865,227,13,15,0,152
,20時,3555,0,2819,165,13,15,0,149
,21時,3436,0,2662,166,13,15,0,169
,22時,3305,0,2546,157,13,15,0,182
,23時,3377,0,2623,169,13,15,0,142
2019/4/7,0時,3329,0,2636,145,12,15,0,115
,1時,3441,0,2718,163,12,15,0,97
,2時,3541,0,2790,199,12,15,0,74
,3時,3625,0,2747,262,12,15,0,62
,4時,3640,0,2706,305,12,15,0,73
,5時,3526,0,2659,244,12,15,24,64
,6時,3277,0,2498,179,12,15,222,48
,7時,2948,0,2080,143,12,15,520,72
,8時,2895,0,2017,123,12,15,744,53
,9時,3125,0,2172,120,12,15,818,57
,10時,3112,0,2248,113,12,15,746,76
,11時,3097,0,2178,120,12,15,840,90
,12時,3105,0,2238,106,12,15,786,104
,13時,3035,0,2277,121,11,15,629,106
,14時,2913,0,2315,145,13,15,434,106
,15時,2915,0,2346,163,13,15,302,109
,16時,3000,0,2369,223,13,15,150,119
,17時,3238,0,2706,264,13,15,28,106
,18時,3541,0,2975,272,13,15,0,82
,19時,3584,0,3017,234,13,15,0,71
,20時,3488,0,2913,175,13,15,0,78
,21時,3356,0,2684,160,13,15,0,74
,22時,3234,0,2580,153,13,15,0,82
,23時,3317,0,2619,171,13,15,0,96
2019/4/8,0時,3232,0,2562,148,12,15,0,103
,1時,3371,0,2653,172,12,15,0,110
,2時,3467,0,2695,208,11,15,0,94
,3時,3584,0,2762,262,12,15,0,88
,4時,3689,0,2764,361,12,15,0,70
,5時,3636,0,2708,292,12,15,28,50
,6時,3513,0,2712,205,12,15,238,36
,7時,3263,0,2375,146,11,15,571,32
,8時,3411,0,2318,127,12,15,802,30
,9時,3484,0,2241,121,12,15,966,26
,10時,3469,0,2218,117,12,15,1075,30
,11時,3456,0,2282,128,12,15,1106,41
,12時,3345,0,2281,111,12,15,1061,59
,13時,3474,0,2368,131,14,15,954,61
,14時,3409,0,2394,138,13,15,703,65
,15時,3366,0,2552,158,12,15,457,60
,16時,3514,0,2837,221,13,15,225,59
,17時,3615,0,3021,264,13,15,42,55
,18時,3837,0,3047,315,14,15,0,44
,19時,3793,0,3047,286,13,15,0,33
,20時,3654,0,2958,186,13,15,0,31
,21時,3496,0,2858,176,12,15,0,29
,22時,3294,0,2686,165,13,15,0,26
,23時,3351,0,2760,182,13,15,0,25
2019/4/9,0時,3233,0,2835,162,12,15,0,37
,1時,3343,0,2824,191,12,15,0,44
,2時,3469,0,2826,246,12,15,0,57
,3時,3530,0,2759,284,12,15,0,66
,4時,3621,0,2823,353,12,15,0,66
,5時,3578,0,2856,323,12,15,24,72
,6時,3565,0,2946,271,12,15,171,79
,7時,3416,0,2674,203,12,15,337,74
,8時,3581,0,2651,177,12,15,539,85
,9時,3713,0,2569,171,12,15,741,98
,10時,3590,0,2489,159,12,15,797,109
,11時,3532,0,2453,168,12,15,857,128
,12時,3269,0,2428,148,12,15,893,127
,13時,3469,0,2368,165,12,15,901,148
,14時,3326,0,2477,182,13,15,682,176
,15時,3356,0,2672,198,12,15,470,183
,16時,3520,0,2716,236,13,15,238,184
,17時,3617,0,2980,249,13,15,42,147
,18時,3809,0,3012,277,13,15,0,115
,19時,3796,0,2978,239,13,15,0,90
,20時,3654,0,2967,172,13,15,0,63
,21時,3509,0,2917,168,13,15,0,46
,22時,3333,0,2780,157,13,15,0,38
,23時,3363,0,2749,173,13,15,0,29
2019/4/10,0時,3298,0,2897,167,12,15,0,21
,1時,3394,0,2907,207,12,15,0,20
,2時,3515,0,2910,248,11,15,0,19
,3時,3630,0,2916,303,12,15,0,20
,4時,3661,0,2925,380,12,15,0,19
,5時,3609,0,2944,398,12,15,31,17
,6時,3464,0,2800,407,12,15,258,14
,7時,3279,0,2706,354,12,15,587,8
,8時,3344,0,2626,238,12,15,880,18
,9時,3455,0,2704,207,11,15,1069,28
,10時,3502,0,2748,187,12,15,1137,32
,11時,3630,0,2890,196,13,15,1139,37
,12時,3358,0,2872,174,12,15,966,44
,13時,3476,0,2942,195,12,15,732,37
,14時,3459,0,2999,190,13,15,603,31
,15時,3534,0,3067,234,13,15,425,29
,16時,3566,0,3088,250,13,15,193,21
,17時,3579,0,3146,282,13,15,36,13
,18時,3754,0,3145,330,14,15,0,6
,19時,3732,0,3144,309,13,15,0,4
,20時,3566,0,3152,276,13,15,0,3
,21時,3426,0,3216,250,13,15,0,2
,22時,3304,0,3182,213,13,15,0,3
,23時,3312,0,3108,216,13,15,0,6
2019/4/11,0時,3201,0,2778,187,12,15,0,5
,1時,3343,0,2835,217,12,15,0,7
,2時,3429,0,2891,226,12,15,0,6
,3時,3501,0,2910,296,12,15,0,3
,4時,3556,0,2768,332,12,15,0,3
,5時,3529,0,2791,307,12,15,30,4
,6時,3452,0,2935,255,12,15,207,5
,7時,3223,0,2471,241,13,15,498,5
,8時,3288,0,2382,187,12,15,766,6
,9時,3405,0,2316,181,12,15,968,5
,10時,3452,0,2453,176,12,15,1034,7
,11時,3485,0,2506,180,12,15,1031,13
,12時,3344,0,2452,157,12,15,968,23
,13時,3534,0,2743,193,12,15,782,38
,14時,3419,0,2671,205,13,15,589,47
,15時,3466,0,2814,243,13,15,386,49
,16時,3548,0,2893,288,13,15,170,39
,17時,3593,0,3086,295,13,15,35,24
,18時,3797,0,3341,313,13,15,0,12
,19時,3784,0,3359,286,13,15,0,9
,20時,3614,0,3271,234,14,15,0,11
,21時,3413,0,3038,225,13,15,0,12
,22時,3315,0,2931,220,13,15,0,12
,23時,3396,0,2942,228,13,15,0,12
2019/4/12,0時,3265,0,2920,174,12,15,0,14
,1時,3373,0,2964,196,11,15,0,19
,2時,3469,0,3038,221,12,15,0,25
,3時,3571,0,3078,258,12,15,0,20
,4時,3658,0,3138,273,12,15,0,18
,5時,3585,0,3060,285,12,15,37,18
,6時,3489,0,2876,238,12,15,271,17
,7時,3205,0,2494,221,12,15,603,13
,8時,3282,0,2411,191,12,15,881,16
,9時,3411,0,2420,183,12,15,1062,21
,10時,3421,0,2378,176,12,15,1107,43
,11時,3588,0,2572,182,12,15,997,57
,12時,3342,0,2456,160,12,15,918,65
,13時,3419,0,2424,186,12,15,785,65
,14時,3319,0,2451,196,13,15,660,50
,15時,3336,0,2527,227,13,15,488,39
,16時,3425,0,2707,281,13,15,249,34
,17時,3475,0,3029,291,13,15,49,31
,18時,3641,0,3192,311,13,15,0,25
,19時,3632,0,3209,265,13,15,0,22
,20時,3456,0,3143,203,13,15,0,28
,21時,3300,0,2952,198,13,15,0,34
,22時,3171,0,2811,193,13,15,0,34
,23時,3231,0,2864,203,13,15,0,37
2019/4/13,0時,3109,0,2604,178,12,15,0,42
,1時,3206,0,2549,199,11,15,0,49
,2時,3352,0,2590,225,12,15,0,55
,3時,3404,0,2441,294,12,15,0,56
,4時,3444,0,2517,331,12,15,0,61
,5時,3313,0,2539,325,11,15,41,75
,6時,3158,0,2358,264,12,15,279,88
,7時,2880,0,1813,250,12,15,612,102
,8時,2894,0,1753,205,12,15,899,110
,9時,2963,0,1597,203,12,15,1089,121
,10時,2972,0,1509,201,12,15,1183,129
,11時,2981,0,1486,190,12,15,1214,148
,12時,2828,0,1467,171,12,15,1177,146
,13時,2812,0,1534,185,11,15,1077,147
,14時,2727,0,1551,203,13,15,891,160
,15時,2763,0,1765,217,13,15,607,154
,16時,2938,0,2089,238,12,15,305,158
,17時,3059,0,2360,311,13,15,53,157
,18時,3304,0,2392,393,13,15,0,143
,19時,3333,0,2266,388,12,15,0,137
,20時,3205,0,2210,352,13,15,0,134
,21時,3082,0,2202,320,13,15,0,148
,22時,2961,0,2241,282,12,15,0,141
,23時,3041,0,2376,276,13,15,0,146
2019/4/14,0時,2931,0,2306,271,12,15,0,145
,1時,3050,0,2348,295,11,15,0,149
,2時,3168,0,2385,310,12,15,0,139
,3時,3225,0,2343,402,11,15,0,125
,4時,3242,0,2482,416,12,15,0,139
,5時,3106,0,2357,398,12,15,38,141
,6時,2952,0,2151,352,11,15,179,132
,7時,2697,0,1828,307,12,15,429,133
,8時,2639,0,1655,240,12,15,681,154
,9時,2639,0,1386,210,11,15,893,149
,10時,2649,0,1296,206,12,15,1056,146
,11時,2689,0,1348,221,11,15,1144,135
,12時,2612,0,1297,206,12,15,1145,133
,13時,2578,0,1346,222,12,15,1050,117
,14時,2557,0,1436,228,12,15,832,86
,15時,2670,0,1668,235,13,15,472,70
,16時,2799,0,1946,299,12,15,200,82
,17時,2981,0,2098,363,13,15,42,110
,18時,3232,0,2439,406,13,15,0,126
,19時,3254,0,2508,401,12,15,0,103
,20時,3133,0,2416,388,13,15,0,115
,21時,3010,0,2290,379,13,15,0,123
,22時,2841,0,2021,369,13,15,0,145
,23時,2872,0,2075,367,12,15,0,131
2019/4/15,0時,2860,0,1981,345,12,15,0,121
,1時,2957,0,2081,379,12,15,0,133
,2時,3050,0,2095,391,11,15,0,162
,3時,3127,0,2068,438,12,15,0,190
,4時,3162,0,2118,450,12,15,0,201
,5時,3151,0,2088,461,12,15,19,178
,6時,3284,0,2236,434,11,15,51,159
,7時,3335,0,2335,387,12,15,64,139
,8時,3609,0,2548,362,12,15,142,127
,9時,3738,0,2599,347,11,15,237,116
,10時,3697,0,2505,338,12,15,317,93
,11時,3683,0,2403,359,12,15,405,82
,12時,3330,0,2070,340,12,15,540,134
,13時,3485,0,2222,379,11,15,478,133
,14時,3555,0,2258,386,13,15,348,139
,15時,3550,0,2322,383,13,15,225,139
,16時,3615,0,2429,420,12,15,104,156
,17時,3622,0,2461,429,13,15,23,193
,18時,3723,0,2476,448,13,15,0,186
,19時,3660,0,2466,419,12,15,0,217
,20時,3494,0,2364,414,13,15,0,212
,21時,3339,0,2214,409,13,15,0,245
,22時,3062,0,2054,392,13,15,0,250
,23時,3061,0,2081,380,13,15,0,269
2019/4/16,0時,2963,0,2029,353,11,15,0,280
,1時,3054,0,2055,363,12,15,0,294
,2時,3175,0,2132,387,12,15,0,271
,3時,3266,0,2134,488,12,15,0,230
,4時,3282,0,2231,498,12,15,0,175
,5時,3240,0,2228,509,11,15,40,145
,6時,3234,0,2106,450,12,15,264,155
,7時,3036,0,1801,368,12,15,557,150
,8時,3121,0,1737,355,12,15,817,166
,9時,3262,0,1605,323,11,15,1025,176
,10時,3278,0,1529,313,12,15,1170,154
,11時,3246,0,1542,317,12,15,1202,163
,12時,3044,0,1534,283,12,15,1177,159
,13時,3111,0,1599,300,11,15,1072,184
,14時,3084,0,1566,330,13,15,872,192
,15時,3100,0,1768,350,13,15,587,195
,16時,3256,0,1925,434,13,15,288,204
