月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
,,,,,,,,,
2020/1/1,0時,4205,0,3169,224,15,22,0,350
,1時,4290,0,3186,236,14,22,0,347
,2時,4418,0,3190,278,14,22,0,348
,3時,4466,0,3179,344,15,22,0,359
,4時,4460,0,3167,398,14,22,0,360
,5時,4332,0,3101,412,14,22,0,357
,6時,4178,0,3078,322,15,22,0,344
,7時,3883,0,2875,229,14,22,31,336
,8時,3741,0,2618,147,14,22,234,337
,9時,3600,0,2370,131,14,22,447,340
,10時,3483,0,2354,134,15,22,562,337
,11時,3376,0,2255,151,14,22,571,334
,12時,3258,0,2206,117,16,22,565,337
,13時,3276,0,2263,129,15,22,482,337
,14時,3377,0,2356,146,16,22,273,346
,15時,3594,0,2598,186,15,22,57,333
,16時,3760,0,2748,271,15,22,0,324
,17時,3925,0,2845,327,16,22,0,312
,18時,3940,0,2842,350,15,22,0,312
,19時,3917,0,2910,255,15,22,0,322
,20時,3953,0,2983,214,16,22,0,319
,21時,3968,0,3026,173,15,22,0,315
,22時,3825,0,2916,165,15,22,0,306
,23時,3981,0,3047,168,16,22,0,319
2020/1/2,0時,3915,0,2998,142,14,22,0,330
,1時,4068,0,3098,175,14,22,0,335
,2時,4207,0,3204,207,14,22,0,343
,3時,4289,0,3218,275,15,22,0,344
,4時,4307,0,3165,340,14,22,0,343
,5時,4233,0,3075,372,14,22,0,342
,6時,4172,0,3119,281,15,22,0,337
,7時,3883,0,2905,210,14,22,40,332
,8時,3769,0,2626,143,14,22,268,323
,9時,3644,0,2375,134,15,22,474,322
,10時,3555,0,2477,123,14,22,575,327
,11時,3550,0,2510,132,14,22,568,325
,12時,3534,0,2578,122,15,22,497,328
,13時,3504,0,2603,141,15,22,387,327
,14時,3513,0,2561,158,16,22,223,332
,15時,3705,0,2746,197,15,22,43,310
,16時,3859,0,2876,276,15,22,0,297
,17時,4004,0,2938,353,16,22,0,289
,18時,4013,0,3007,297,15,22,0,293
,19時,3956,0,3023,247,15,22,0,295
,20時,3956,0,3073,200,16,22,0,280
,21時,3895,0,3030,179,15,22,0,268
,22時,3727,0,2861,163,15,22,0,277
,23時,3893,0,3021,165,16,22,0,291
2020/1/3,0時,3820,0,2957,146,14,22,0,297
,1時,3957,0,3055,181,14,22,0,289
,2時,4096,0,3160,212,15,22,0,286
,3時,4170,0,3160,274,14,22,0,288
,4時,4155,0,3006,362,14,22,0,319
,5時,4066,0,2923,387,15,22,0,300
,6時,3928,0,2775,293,14,22,0,283
,7時,3689,0,2657,242,14,22,44,258
,8時,3607,0,2511,176,14,22,291,255
,9時,3564,0,2438,150,15,22,531,272
,10時,3458,0,2418,130,14,22,661,296
,11時,3417,0,2450,142,15,22,701,315
,12時,3320,0,2394,120,14,22,673,311
,13時,3351,0,2320,140,15,22,519,304
,14時,3464,0,2406,153,16,22,262,315
,15時,3664,0,2632,211,15,22,63,312
,16時,3857,0,2822,264,16,22,0,311
,17時,4046,0,2921,366,15,22,0,294
,18時,4152,0,3026,318,15,22,0,279
,19時,4149,0,3062,290,16,22,0,283
,20時,4130,0,3114,238,15,22,0,260
,21時,4143,0,3235,185,15,22,0,241
,22時,3970,0,3152,171,16,22,0,226
,23時,4123,0,3266,180,15,22,0,239
2020/1/4,0時,4098,0,3258,144,14,22,0,236
,1時,4222,0,3318,184,15,22,0,234
,2時,4346,0,3336,222,14,22,0,240
,3時,4461,0,3350,303,14,22,0,245
,4時,4530,0,3352,363,15,22,0,226
,5時,4503,0,3352,396,14,22,0,206
,6時,4403,0,3368,346,14,22,0,190
,7時,4178,0,3243,254,15,22,32,182
,8時,4168,0,3124,192,14,22,215,190
,9時,4056,0,2851,154,14,22,440,177
,10時,3820,0,2496,137,15,22,583,175
,11時,3731,0,2489,147,14,22,682,183
,12時,3642,0,2558,114,16,22,666,168
,13時,3627,0,2512,142,15,22,504,165
,14時,3737,0,2700,196,15,22,281,144
,15時,3961,0,3092,242,16,22,63,135
,16時,4173,0,3316,284,15,22,0,126
,17時,4330,0,3378,374,15,22,0,123
,18時,4373,0,3441,353,16,22,0,128
,19時,4318,0,3440,291,15,22,0,130
,20時,4303,0,3498,231,15,22,0,112
,21時,4197,0,3420,213,16,22,0,103
,22時,4020,0,3270,206,15,22,0,95
,23時,4202,0,3401,218,15,22,0,113
2020/1/5,0時,4170,0,3385,188,15,22,0,146
,1時,4318,0,3453,222,14,22,0,166
,2時,4445,0,3557,262,14,22,0,152
,3時,4529,0,3577,340,14,22,0,145
,4時,4499,0,3471,401,15,22,0,162
,5時,4403,0,3340,436,14,22,0,168
,6時,4267,0,3251,343,14,22,0,165
,7時,4011,0,3082,282,15,22,42,159
,8時,3890,0,2806,214,14,22,273,147
,9時,3815,0,2637,142,14,22,504,154
,10時,3865,0,2507,133,14,22,669,183
,11時,3921,0,2488,154,15,22,657,210
,12時,3848,0,2619,125,15,22,554,218
