月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
,,,,,,,,,
2019/10/1,0時,2639,0,1954,206,15,20,0,35
,1時,2592,0,1878,199,15,20,0,24
,2時,2752,0,2027,228,15,20,0,18
,3時,2887,0,2088,289,15,20,0,21
,4時,2927,0,2058,314,15,20,0,27
,5時,2800,0,1975,305,15,20,2,39
,6時,2790,0,1890,256,15,20,130,29
,7時,2838,0,1678,239,15,20,470,32
,8時,3010,0,1636,208,15,20,742,33
,9時,3180,0,1661,209,15,20,1026,34
,10時,3266,0,1435,221,14,20,1185,49
,11時,3300,0,1416,209,15,20,1203,67
,12時,3084,0,1536,170,15,20,1137,66
,13時,3281,0,1750,191,14,20,968,69
,14時,3332,0,2091,223,15,20,717,72
,15時,3369,0,2310,364,14,20,370,49
,16時,3504,0,2577,515,15,20,61,38
,17時,3654,0,2628,546,15,20,0,35
,18時,3635,0,2650,548,15,20,0,32
,19時,3470,0,2607,475,16,20,0,31
,20時,3251,0,2439,388,16,20,0,28
,21時,3069,0,2346,320,16,20,0,39
,22時,2867,0,2374,280,15,20,0,57
,23時,2763,0,2105,230,16,20,0,58
2019/10/2,0時,2639,0,2037,168,15,20,0,54
,1時,2582,0,1974,178,15,20,0,56
,2時,2733,0,2117,200,14,20,0,46
,3時,2862,0,2212,238,15,20,0,57
,4時,2906,0,2223,267,15,20,0,59
,5時,2816,0,2103,268,15,20,1,67
,6時,2818,0,2024,245,15,20,120,75
,7時,2875,0,1963,228,15,20,371,86
,8時,3142,0,2184,221,15,20,615,89
,9時,3320,0,2273,218,14,20,756,67
,10時,3303,0,2150,230,15,20,897,76
,11時,3339,0,2087,222,15,20,954,82
,12時,3155,0,1995,196,14,20,922,87
,13時,3385,0,2273,210,14,20,775,84
,14時,3504,0,2512,214,15,20,585,86
,15時,3529,0,2705,325,14,20,268,84
,16時,3615,0,2803,453,14,20,30,86
,17時,3737,0,2799,495,15,20,0,83
,18時,3678,0,2802,495,15,20,0,98
,19時,3500,0,2628,429,16,20,0,125
,20時,3287,0,2376,338,16,20,0,126
,21時,3087,0,2148,338,16,20,0,130
,22時,2967,0,2056,296,15,20,0,137
,23時,2899,0,2018,274,16,20,0,127
2019/10/3,0時,2709,0,1924,233,15,20,0,135
,1時,2696,0,1914,237,15,20,0,139
,2時,2782,0,1962,257,15,20,0,142
,3時,2939,0,2145,289,14,20,0,139
,4時,2990,0,2160,320,15,20,0,155
,5時,2898,0,2051,332,15,20,0,135
,6時,2997,0,2101,303,15,20,73,109
,7時,3132,0,2178,273,15,20,230,101
,8時,3355,0,2411,251,14,20,346,102
,9時,3567,0,2453,283,15,20,497,111
,10時,3573,0,2386,233,15,20,599,105
,11時,3620,0,2417,208,14,20,637,104
,12時,3398,0,2336,179,15,20,572,101
,13時,3668,0,2595,233,14,20,528,86
,14時,3664,0,2714,300,14,20,309,86
,15時,3591,0,2563,395,15,20,133,97
,16時,3639,0,2854,458,14,20,18,96
,17時,3778,0,2926,487,15,20,0,105
,18時,3700,0,2870,488,15,20,0,106
,19時,3528,0,2692,464,15,20,0,135
,20時,3309,0,2496,418,16,20,0,149
,21時,3137,0,2436,362,15,20,0,139
,22時,2973,0,2297,359,16,20,0,123
,23時,2853,0,2198,347,15,20,0,140
2019/10/4,0時,2697,0,2050,331,14,20,0,161
,1時,2644,0,1916,359,15,20,0,186
,2時,2754,0,2046,365,14,20,0,170
,3時,2952,0,2202,410,15,20,0,167
,4時,2978,0,2159,435,14,20,0,189
,5時,2913,0,2094,443,15,20,0,201
,6時,2956,0,2097,448,14,20,36,185
,7時,3127,0,2284,428,15,20,58,170
,8時,3450,0,2581,437,15,20,62,166
,9時,3654,0,2730,444,14,20,96,163
,10時,3640,0,2738,456,15,20,123,153
,11時,3643,0,2672,502,14,20,111,148
,12時,3360,0,2515,459,15,20,107,141
,13時,3535,0,2593,485,14,20,99,144
,14時,3542,0,2603,523,15,20,69,148
,15時,3515,0,2645,527,14,20,32,147
,16時,3587,0,2855,546,15,20,7,138
,17時,3641,0,2970,521,14,20,0,135
,18時,3546,0,2786,510,16,20,0,131
,19時,3410,0,2624,484,15,20,0,129
,20時,3192,0,2464,428,16,20,0,126
,21時,2993,0,2222,442,15,20,0,133
,22時,2825,0,2117,434,16,20,0,137
,23時,2737,0,1959,440,15,20,0,136
2019/10/5,0時,2652,0,1963,413,15,20,0,138
,1時,2651,0,1960,416,14,20,0,154
,2時,2732,0,2023,441,15,20,0,188
,3時,2863,0,2004,483,15,20,0,195
,4時,2885,0,2053,495,14,20,0,195
,5時,2773,0,1904,474,15,20,1,215
,6時,2746,0,1811,481,15,20,84,203
,7時,2824,0,1786,445,14,20,265,206
,8時,2926,0,1855,419,15,20,500,196
,9時,3029,0,1825,402,15,20,596,196
,10時,3091,0,1787,405,14,20,723,202
,11時,3108,0,1802,406,15,20,686,213
,12時,2967,0,1780,407,15,20,557,207
,13時,3105,0,1923,407,14,20,536,205
,14時,3111,0,2073,409,15,20,311,190
,15時,3080,0,2136,460,15,20,175,174
,16時,3190,0,2386,492,15,20,24,163
,17時,3369,0,2578,514,14,20,0,149
,18時,3348,0,2535,522,16,20,0,123
,19時,3260,0,2562,457,16,20,0,104
,20時,3090,0,2483,399,16,20,0,92
,21時,2888,0,2218,392,16,20,0,70
,22時,2774,0,2157,393,16,20,0,51
,23時,2696,0,2084,374,15,20,0,35
2019/10/6,0時,2564,0,2073,360,15,20,0,26
,1時,2525,0,1930,361,15,20,0,22
,2時,2665,0,2045,365,15,20,0,21
,3時,2835,0,2245,401,15,20,0,17
,4時,2840,0,2243,405,15,20,0,17
,5時,2673,0,2089,387,15,20,1,19
,6時,2520,0,1782,379,14,20,150,19
,7時,2462,0,1429,363,15,20,540,14
,8時,2440,0,1417,343,15,20,816,13
,9時,2581,0,1395,344,15,20,1067,16
,10時,2656,0,1404,357,15,20,1153,16
,11時,2677,0,1364,368,15,20,1192,24
,12時,2554,0,1405,319,15,20,1100,35
,13時,2483,0,1410,332,15,20,946,41
,14時,2499,0,1531,333,14,20,725,41
,15時,2600,0,1707,354,15,20,378,37
,16時,2838,0,2078,400,15,20,58,30
,17時,3182,0,2362,465,15,20,0,26
,18時,3233,0,2541,450,16,20,0,24
,19時,3167,0,2521,425,15,20,0,26
,20時,3029,0,2434,420,16,20,0,24
,21時,2865,0,2242,403,16,20,0,33
,22時,2711,0,2123,373,15,20,0,33
,23時,2632,0,2025,382,16,20,0,40
2019/10/7,0時,2479,0,1898,341,14,20,0,45
,1時,2487,0,1891,365,15,20,0,34
,2時,2623,0,2009,372,15,20,0,44
,3時,2784,0,2156,395,14,20,0,58
,4時,2850,0,2185,431,15,20,0,64
,5時,2814,0,2107,451,14,20,1,65
,6時,2830,0,1968,427,15,20,98,58
,7時,2949,0,1925,386,15,20,388,48
,8時,3155,0,1923,360,14,20,566,49
,9時,3293,0,1952,286,15,20,728,51
,10時,3441,0,1989,301,15,20,804,59
,11時,3500,0,2161,324,14,20,797,89
,12時,3247,0,1916,290,15,20,703,100
,13時,3430,0,2148,347,14,20,593,95
,14時,3425,0,2319,392,15,20,357,85
,15時,3424,0,2569,406,14,20,130,94
,16時,3528,0,2819,422,15,20,14,89
,17時,3681,0,2933,488,15,20,0,91
,18時,3626,0,2676,505,15,20,0,95
,19時,3474,0,2600,488,16,20,0,99
,20時,3249,0,2419,459,15,20,0,121
,21時,3049,0,2303,406,16,20,0,136
,22時,2852,0,2156,371,15,20,0,157
,23時,2743,0,2049,361,16,20,0,163
2019/10/8,0時,2607,0,1940,335,14,20,0,164
,1時,2599,0,1948,344,15,20,0,148
,2時,2732,0,2019,373,14,20,0,150
,3時,2919,0,2162,405,15,20,0,143
,4時,3009,0,2279,423,15,20,0,94
,5時,2956,0,2259,424,14,20,0,74
,6時,3015,0,2307,401,15,20,46,62
,7時,3160,0,2371,416,14,20,113,56
,8時,3375,0,2524,425,15,20,130,69
,9時,3610,0,2644,440,14,20,217,68
,10時,3603,0,2632,422,15,20,241,81
,11時,3624,0,2614,440,14,20,230,99
,12時,3358,0,2393,395,14,20,226,110
,13時,3576,0,2638,409,15,20,176,93
