DATE,TIME,当日実績(万kW)
2021/11/18,00:00,1329
2021/11/18,01:00,1284
2021/11/18,02:00,1303
2021/11/18,03:00,1329
2021/11/18,04:00,1341
2021/11/18,05:00,1365
2021/11/18,06:00,1454
2021/11/18,07:00,1540
2021/11/18,08:00,1702
2021/11/18,09:00,1780
2021/11/18,10:00,1759
2021/11/18,11:00,1722
2021/11/18,12:00,1603
2021/11/18,13:00,1690
2021/11/18,14:00,1688
2021/11/18,15:00,1662
2021/11/18,16:00,1695
2021/11/18,17:00,1721
2021/11/18,18:00,1696
2021/11/18,19:00,1632
2021/11/18,20:00,1579
2021/11/18,21:00,1524
2021/11/18,22:00,1464
2021/11/18,23:00,1417
