需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2023/4/3,23:00,683.1,,671.7,0.9,2.4,0,0,8.1,0,683.1
2023/4/4,0:00,639,,628,0.9,2.4,0,0,7.7,0,639
2023/4/4,1:00,612.1,,602.9,0.9,2.4,0,0,5.9,0,612.1
2023/4/4,2:00,625.2,,617.2,0.9,2.4,0,0,4.7,0,625.2
2023/4/4,3:00,658.2,,650,0.9,2.4,0,0,4.9,0,658.2
2023/4/4,4:00,668.7,,659.3,0.9,2.4,0,0,6.1,0,668.7
2023/4/4,5:00,672.4,,664.4,0.9,2.4,0,0,4.7,0,672.4
2023/4/4,6:00,674.3,,662.6,0.9,2.4,4.5,0,3.9,0,674.3
2023/4/4,7:00,696.1,,659.2,0.9,2.4,29.3,0,4.3,0,696.1
2023/4/4,8:00,757.4,,648.2,0.9,2.4,100.4,0,5.5,0,757.4
2023/4/4,9:00,831.7,,683.5,0.9,2.4,138.5,0,6.4,0,831.7
2023/4/4,10:00,813.8,,636,0.9,2.4,170.2,0,4.3,0,813.8
2023/4/4,11:00,837.7,,591.1,0.9,2.4,239.7,0,3.6,0,837.7
2023/4/4,12:00,833.3,,600.8,0.9,2.4,224.7,0,4.5,0,833.3
2023/4/4,13:00,804.5,,626.4,0.9,2.4,171,0,3.8,0,804.5
2023/4/4,14:00,831.9,,613.3,0.9,2.4,211.7,0,3.6,0,831.9
2023/4/4,15:00,839.6,,648.4,0.9,2.4,183.9,0,4,0,839.6
2023/4/4,16:00,827,,689.9,0.9,2.4,129.1,0,4.7,0,827
2023/4/4,17:00,813.9,,743.3,0.9,2.4,62.5,0,4.8,0,813.9
2023/4/4,18:00,823.1,,803.6,0.9,2.4,11.5,0,4.7,0,823.1
2023/4/4,19:00,842.3,,834,0.9,2.4,0,0,5,0,842.3
2023/4/4,20:00,812.7,,804.6,0.9,2.4,0,0,4.8,0,812.7
2023/4/4,21:00,765.2,,757.9,0.9,2.4,0,0,4,0,765.2
2023/4/4,22:00,703.9,,697.2,0.9,2.4,0,0,3.4,0,703.9
2023/4/4,23:00,654,,647,0.9,2.4,0,0,3.7,0,654
2023/4/5,0:00,606.3,,599.1,0.9,2.4,0,0,3.9,0,606.3
2023/4/5,1:00,580.9,,573.9,0.9,2.4,0,0,3.7,0,580.9
