需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2022/4/1,0:00,666.8,,610.6,0.9,44.5,0,0,10.8,0,666.8
2022/4/1,1:00,633.6,,577,0.9,44.5,0,0,11.2,0,633.6
2022/4/1,2:00,635.6,,579.5,0.9,44.5,0,0,10.7,0,635.6
2022/4/1,3:00,663.1,,607,0.9,44.5,0,0,10.7,0,663.1
2022/4/1,4:00,669.1,,612.8,0.9,44.5,0,0,10.9,0,669.1
2022/4/1,5:00,661,,605,0.9,44.5,0,0,10.6,0,661
2022/4/1,6:00,666.8,,608.5,0.9,44.5,1.9,0,11,0,666.8
2022/4/1,7:00,722.9,,646.4,0.9,44.5,20,0,11.1,0,722.9
2022/4/1,8:00,784.7,,694.8,0.9,44.5,34.2,0,10.3,0,784.7
2022/4/1,9:00,810.8,,721.2,0.9,44.5,34.5,0,9.7,0,810.8
2022/4/1,10:00,827,,712.7,0.9,44.5,60,0,8.9,0,827
2022/4/1,11:00,813,,720.6,0.9,44.5,39.7,0,7.3,0,813
2022/4/1,12:00,792.5,,673.3,0.9,44.5,66.3,0,7.5,0,792.5
2022/4/1,13:00,824.8,,664.9,0.9,44.5,105.8,0,8.7,0,824.8
2022/4/1,14:00,815.2,,685.5,0.9,44.5,73.7,0,10.6,0,815.2
2022/4/1,15:00,817.6,,688.5,0.9,44.5,73.3,0,10.4,0,817.6
2022/4/1,16:00,804.7,,699.7,0.9,44.5,49.6,0,10,0,804.7
2022/4/1,17:00,801.6,,721.1,0.9,44.5,25.6,0,9.5,0,801.6
2022/4/1,18:00,837.5,,779.7,0.9,44.5,2.9,0,9.5,0,837.5
2022/4/1,19:00,842.8,,787.9,0.9,44.5,0,0,9.5,0,842.8
2022/4/1,20:00,815.8,,761.5,0.9,44.5,0,0,8.9,0,815.8
2022/4/1,21:00,772.9,,718.4,0.9,44.5,0,0,9.1,0,772.9
2022/4/1,22:00,733.7,,680.1,0.9,44.5,0,0,8.2,0,733.7
2022/4/1,23:00,703.4,,650.4,0.9,44.5,0,0,7.6,0,703.4
2022/4/2,0:00,657.3,,605.1,0.9,44.5,0,0,6.8,0,657.3
2022/4/2,1:00,633.4,,581.7,0.9,44.5,0,0,6.3,0,633.4
2022/4/2,2:00,641.8,,591.5,0.9,44.5,0,0,4.9,0,641.8
2022/4/2,3:00,672.5,,624.2,0.9,44.5,0,0,2.9,0,672.5
2022/4/2,4:00,679.9,,631.6,0.9,44.5,0,0,2.9,0,679.9
2022/4/2,5:00,665.9,,617.6,0.9,44.5,0,0,2.9,0,665.9
2022/4/2,6:00,653.3,,602.2,0.9,44.5,1.4,0,4.3,0,653.3
2022/4/2,7:00,692.8,,634.2,0.9,44.5,7.8,0,5.4,0,692.8
2022/4/2,8:00,752.6,,687.5,0.9,44.5,16.2,0,3.5,0,752.6
2022/4/2,9:00,774.7,,703.2,0.9,44.5,23.4,0,2.7,0,774.7
2022/4/2,10:00,805.6,,708.7,0.9,44.5,50.1,0,1.4,0,805.6
2022/4/2,11:00,807.2,,737.6,0.9,44.5,22.3,0,1.9,0,807.2
2022/4/2,12:00,808.6,,732.1,0.9,44.5,27.5,0,3.6,0,808.6
2022/4/2,13:00,800.1,,722.5,0.9,44.5,28.2,0,4,0,800.1
2022/4/2,14:00,807,,726.2,0.9,44.5,30.5,0,4.9,0,807
2022/4/2,15:00,814.7,,728.4,0.9,44.5,39.2,0,1.7,0,814.7
2022/4/2,16:00,824.2,,754.7,0.9,44.5,22.1,0,2,0,824.2
2022/4/2,17:00,844.3,,781.1,0.9,44.5,16.1,0,1.7,0,844.3
2022/4/2,18:00,866.4,,816.7,0.9,44.5,3.3,0,1,0,866.4
2022/4/2,19:00,874.5,,827.3,0.9,44.5,0,0,1.8,0,874.5
2022/4/2,20:00,852.7,,804.6,0.9,44.5,0,0,2.7,0,852.7
2022/4/2,21:00,814.5,,766.3,0.9,44.5,0,0,2.8,0,814.5
2022/4/2,22:00,754.6,,706.5,0.9,44.5,0,0,2.7,0,754.6
2022/4/2,23:00,709.4,,661.6,0.9,44.5,0,0,2.4,0,709.4
2022/4/3,0:00,661.2,,612.5,0.9,44.5,0,0,3.3,0,661.2
2022/4/3,1:00,637.7,,589.5,0.9,44.5,0,0,2.8,0,637.7
2022/4/3,2:00,652.2,,604.8,0.9,44.5,0,0,2,0,652.2
2022/4/3,3:00,672.7,,625.8,0.9,44.5,0,0,1.5,0,672.7
2022/4/3,4:00,682.6,,635,0.9,44.5,0,0,2.2,0,682.6
2022/4/3,5:00,662.7,,614.9,0.9,44.5,0,0,2.4,0,662.7
2022/4/3,6:00,630.4,,580,0.9,44.5,2.2,0,2.8,0,630.4
2022/4/3,7:00,649,,589.9,0.9,44.5,10.7,0,3,0,649
2022/4/3,8:00,700.7,,639.4,0.9,44.5,14.1,0,1.8,0,700.7
2022/4/3,9:00,750.5,,669.1,0.9,44.5,31.2,0,4.8,0,750.5
2022/4/3,10:00,767.7,,669.6,0.9,44.5,44.8,0,7.9,0,767.7
2022/4/3,11:00,772.2,,675,0.9,44.5,43.3,0,8.5,0,772.2
2022/4/3,12:00,781.1,,685,0.9,44.5,42.2,0,8.5,0,781.1
2022/4/3,13:00,773.6,,670,0.9,44.5,49.7,0,8.5,0,773.6
2022/4/3,14:00,757.8,,666.3,0.9,44.5,37.7,0,8.4,0,757.8
2022/4/3,15:00,756.5,,679,0.9,44.5,23.8,0,8.3,0,756.5
2022/4/3,16:00,781.3,,705.4,0.9,44.5,22.6,0,7.9,0,781.3
2022/4/3,17:00,812.5,,751.3,0.9,44.5,7.7,0,8.1,0,812.5
2022/4/3,18:00,863.5,,807.8,0.9,44.5,2.5,0,7.8,0,863.5
2022/4/3,19:00,879.5,,825.3,0.9,44.5,0,0,8.8,0,879.5
2022/4/3,20:00,855.1,,801.2,0.9,44.5,0,0,8.5,0,855.1
2022/4/3,21:00,815.5,,761.6,0.9,44.5,0,0,8.5,0,815.5
2022/4/3,22:00,748.8,,695.6,0.9,44.5,0,0,7.8,0,748.8
2022/4/3,23:00,701.3,,648.1,0.9,44.5,0,0,7.8,0,701.3
2022/4/4,0:00,655.9,,609.9,0.9,38.1,0,0,7,0,655.9
2022/4/4,1:00,632,,589.8,0.9,33.6,0,0,7.7,0,632
2022/4/4,2:00,649.3,,608,0.9,33.6,0,0,6.8,0,649.3
2022/4/4,3:00,684,,643,0.9,33.6,0,0,6.5,0,684
2022/4/4,4:00,691,,650.5,0.9,33.6,0,0,6,0,691
2022/4/4,5:00,686.9,,646.9,0.9,33.6,0,0,5.5,0,686.9
2022/4/4,6:00,689.5,,644.8,0.9,33.6,5.7,0,4.5,0,689.5
2022/4/4,7:00,723.5,,643.9,0.9,33.6,41.7,0,3.4,0,723.5
2022/4/4,8:00,755.8,,605.8,0.9,33.6,112.6,0,2.9,0,755.8
2022/4/4,9:00,793.1,,576.7,0.9,33.6,180,0,1.9,0,793.1
