需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2021/4/1,0:00,684.3,,678,0.9,4.1,0,0,1.3,0,684.3
2021/4/1,1:00,655.2,,648.1,0.9,4.1,0,0,2.1,0,655.2
2021/4/1,2:00,663.4,,656.3,0.9,4.1,0,0,2.1,0,663.4
2021/4/1,3:00,688.5,,681.1,0.9,4.1,0,0,2.4,0,688.5
2021/4/1,4:00,700.8,,692.9,0.9,4.1,0,0,2.9,0,700.8
2021/4/1,5:00,694,,687.8,0.9,4.1,0,0,1.2,0,694
2021/4/1,6:00,709.8,,702.6,0.9,4.1,1.8,0,0.4,0,709.8
2021/4/1,7:00,780.8,,749.6,0.9,4.1,26,0,0.2,0,780.8
2021/4/1,8:00,882.7,,802.4,0.9,4.1,74.4,0,0.9,0,882.7
2021/4/1,9:00,972.1,,819.6,0.9,4.1,146.1,0,1.4,0,972.1
2021/4/1,10:00,1002.9,,811.7,0.9,4.1,185.4,0,0.8,0,1002.9
2021/4/1,11:00,1043.2,,817.5,0.9,4.1,220.2,0,0.5,0,1043.2
2021/4/1,12:00,996.6,,830.4,0.9,4.1,160.5,0,0.7,0,996.6
2021/4/1,13:00,1008,,858.7,0.9,4.1,143.9,0,0.4,0,1008
2021/4/1,14:00,991.3,,885.4,0.9,4.1,100,0,0.9,0,991.3
2021/4/1,15:00,1005.2,,852.2,0.9,4.1,147.1,0,0.9,0,1005.2
2021/4/1,16:00,1027.1,,908.3,0.9,4.1,113.4,0,0.4,0,1027.1
2021/4/1,17:00,985.5,,931.1,0.9,4.1,49,0,0.4,0,985.5
2021/4/1,18:00,980.3,,965.6,0.9,4.1,9,0,0.7,0,980.3
2021/4/1,19:00,990.9,,985.2,0.9,4.1,0,0,0.7,0,990.9
2021/4/1,20:00,949.4,,943.3,0.9,4.1,0,0,1.1,0,949.4
2021/4/1,21:00,891.1,,884.3,0.9,4.1,0,0,1.8,0,891.1
2021/4/1,22:00,827.8,,821.3,0.9,4.1,0,0,1.5,0,827.8
2021/4/1,23:00,767.7,,761.4,0.9,4.1,0,0,1.3,0,767.7
2021/4/2,0:00,712.2,,704.6,0.9,4.1,0,0,2.6,0,712.2
2021/4/2,1:00,678.6,,670,0.9,4.1,0,0,3.6,0,678.6
2021/4/2,2:00,684,,677.1,0.9,4.1,0,0,1.9,0,684
2021/4/2,3:00,707.4,,699.6,0.9,4.1,0,0,2.8,0,707.4
2021/4/2,4:00,713.4,,705.6,0.9,4.1,0,0,2.8,0,713.4
2021/4/2,5:00,705.4,,695.1,0.9,4.1,0,0,5.3,0,705.4
2021/4/2,6:00,719.4,,707.1,0.9,4.1,3,0,4.3,0,719.4
2021/4/2,7:00,788.8,,760.7,0.9,4.1,19.7,0,3.4,0,788.8
2021/4/2,8:00,883,,848.5,0.9,4,26.6,0,3,0,883
2021/4/2,9:00,954.1,,911.7,0.9,4,34,0,3.5,0,954.1
2021/4/2,10:00,965.6,,930.8,0.9,4,27.3,0,2.6,0,965.6
2021/4/2,11:00,961.9,,920.9,0.9,4,33.5,0,2.6,0,961.9
2021/4/2,12:00,996.9,,878.1,0.9,4.1,111.8,0,2,0,996.9
2021/4/2,13:00,1016.8,,901,0.9,4,108.2,0,2.7,0,1016.8
2021/4/2,14:00,1028.1,,910.5,0.9,4,110.6,0,2.1,0,1028.1
2021/4/2,15:00,1007.5,,923,0.9,4,78.2,0,1.4,0,1007.5
2021/4/2,16:00,1001.2,,946,0.9,4,48.8,0,1.5,0,1001.2
2021/4/2,17:00,997.2,,968.4,0.9,4.1,21.5,0,2.3,0,997.2
2021/4/2,18:00,990.1,,981.1,0.9,4.1,3.3,0,0.7,0,990.1
2021/4/2,19:00,969.8,,964.1,0.9,4.1,0,0,0.7,0,969.8
2021/4/2,20:00,930.4,,925.3,0.9,4.1,0,0,0.1,0,930.4
2021/4/2,21:00,869.9,,864.9,0.9,4.1,0,0,0,0,869.9
2021/4/2,22:00,821.6,,816.5,0.9,4.1,0,0,0.1,0,821.6
2021/4/2,23:00,783.6,,778.2,0.9,4.1,0,0,0.4,0,783.6
2021/4/3,0:00,718.6,,713.5,0.9,4,0,0,0.2,0,718.6
2021/4/3,1:00,690.5,,685.4,0.9,4,0,0,0.2,0,690.5
2021/4/3,2:00,694.3,,689.3,0.9,4,0,0,0.1,0,694.3
2021/4/3,3:00,716.7,,711.7,0.9,4,0,0,0.1,0,716.7
2021/4/3,4:00,725.1,,720,0.9,4,0,0,0.2,0,725.1
2021/4/3,5:00,713.2,,708.1,0.9,4,0,0,0.2,0,713.2
2021/4/3,6:00,705.8,,698.6,0.9,4,2.1,0,0.2,0,705.8
2021/4/3,7:00,757.5,,738.8,0.9,4,13.7,0,0.1,0,757.5
2021/4/3,8:00,831.4,,796.4,0.9,4,30,0,0.1,0,831.4
2021/4/3,9:00,892.3,,825.9,0.9,4,61.5,0,0,0,892.3
2021/4/3,10:00,914.7,,809,0.9,4,100.8,0,0,0,914.7
2021/4/3,11:00,974,,779.1,0.9,4,190,0,0,0,974
2021/4/3,12:00,1007.4,,762,0.9,4,240.5,0,0,0,1007.4
2021/4/3,13:00,983.8,,809.9,0.9,4,169,0,0,0,983.8
2021/4/3,14:00,977,,811.3,0.9,4,160.8,0,0,0,977
2021/4/3,15:00,982.9,,824.9,0.9,4,152.9,0,0.2,0,982.9
2021/4/3,16:00,949.7,,870.5,0.9,4,74.2,0,0.1,0,949.7
2021/4/3,17:00,942.1,,903.6,0.9,4,33.6,0,0,0,942.1
2021/4/3,18:00,955.5,,943.8,0.9,4,6.7,0,0.1,0,955.5
2021/4/3,19:00,975.4,,970.5,0.9,4,0,0,0,0,975.4
2021/4/3,20:00,944.6,,939.6,0.9,4,0,0,0.1,0,944.6
2021/4/3,21:00,881.8,,876.9,0.9,4,0,0,0,0,881.8
2021/4/3,22:00,818.8,,813.8,0.9,4,0,0,0.1,0,818.8
2021/4/3,23:00,767.9,,763,0.9,4,0,0,0,0,767.9
2021/4/4,0:00,710.5,,705.5,0.9,4.1,0,0,0,0,710.5
2021/4/4,1:00,678.1,,673.1,0.9,4.1,0,0,0,0,678.1
2021/4/4,2:00,680.4,,675.4,0.9,4.1,0,0,0,0,680.4
2021/4/4,3:00,701,,696,0.9,4.1,0,0,0,0,701
2021/4/4,4:00,708.7,,701.9,0.9,4.1,0,0,1.8,0,708.7
2021/4/4,5:00,690.3,,681.1,0.9,4.1,0,0,4.2,0,690.3
2021/4/4,6:00,676.4,,663.6,0.9,4.1,2.9,0,4.9,0,676.4
2021/4/4,7:00,705.3,,681.6,0.9,4.1,13.9,0,4.8,0,705.3
2021/4/4,8:00,772.1,,729.9,0.9,4.1,30.4,0,6.8,0,772.1
2021/4/4,9:00,809.8,,757.3,0.9,4.1,38.8,0,8.7,0,809.8
2021/4/4,10:00,804.1,,746.8,0.9,4.1,42.9,0,9.4,0,804.1
2021/4/4,11:00,797.5,,730.4,0.9,4.1,51.9,0,10.2,0,797.5
