DATE_TIME,エリア需要〔MWh〕,原子力〔MWh〕,火力〔MWh〕,水力〔MWh〕,地熱〔MWh〕,バイオマス〔MWh〕,実績〔MWh〕,実績〔MWh〕
2020/7/1 0:00,7635,2303,6117,1100,102,308,0,120
2020/7/1 1:00,7299,2300,6008,1097,97,307,0,103
2020/7/1 2:00,7394,2304,5943,1098,97,306,0,101
2020/7/1 3:00,7873,2301,5886,1104,97,312,0,76
2020/7/1 4:00,8300,2297,6054,1084,97,311,0,79
2020/7/1 5:00,8417,2297,6221,1061,97,310,56,69
2020/7/1 6:00,8198,2298,6145,1031,97,316,581,57
2020/7/1 7:00,8362,2303,5584,927,97,345,1702,35
2020/7/1 8:00,9129,2302,5474,858,97,351,2588,39
2020/7/1 9:00,9841,2300,5600,852,97,344,3324,48
2020/7/1 10:00,10133,2300,4751,862,97,346,4479,44
2020/7/1 11:00,10713,2302,4530,850,97,346,5248,60
2020/7/1 12:00,10269,2304,3984,825,97,349,5256,77
2020/7/1 13:00,10552,2300,4628,826,97,342,5104,86
2020/7/1 14:00,10681,2301,5088,850,96,345,4683,83
2020/7/1 15:00,10509,2302,5689,862,96,346,4033,73
2020/7/1 16:00,10408,2301,6806,896,96,347,2830,69
2020/7/1 17:00,10211,2301,7469,1034,94,322,1658,56
2020/7/1 18:00,10040,2301,8233,1083,92,295,576,57
2020/7/1 19:00,9791,2302,8278,1123,96,355,29,49
2020/7/1 20:00,9435,2302,8116,1125,96,351,0,39
2020/7/1 21:00,8955,2302,7559,1129,96,349,0,27
2020/7/1 22:00,8468,2302,6971,1144,96,347,0,23
2020/7/1 23:00,8010,2302,6099,1147,96,348,0,13
2020/7/2 0:00,7469,2300,5270,1198,96,348,0,5
2020/7/2 1:00,7222,2303,5101,1208,95,346,0,5
2020/7/2 2:00,7344,2302,5191,1225,95,348,0,4
2020/7/2 3:00,7869,2303,5695,1229,95,348,0,3
2020/7/2 4:00,8282,2298,5829,1195,95,351,0,6
2020/7/2 5:00,8373,2300,6025,1165,95,349,106,6
2020/7/2 6:00,8115,2300,4937,1128,95,354,959,8
2020/7/2 7:00,8292,2302,3981,1058,95,349,2509,11
2020/7/2 8:00,9089,2302,3612,979,95,345,4158,4
2020/7/2 9:00,10235,2303,3595,956,95,340,5770,3
2020/7/2 10:00,10878,2302,3640,950,95,339,6470,6
2020/7/2 11:00,11148,2303,3541,970,95,346,6597,9
2020/7/2 12:00,10915,2302,3512,985,95,347,6291,14
2020/7/2 13:00,11086,2302,4030,993,95,338,5680,20
2020/7/2 14:00,11276,2302,5013,1014,95,339,5441,10
2020/7/2 15:00,11326,2304,5657,1040,95,345,4569,12
2020/7/2 16:00,11345,2302,6784,1109,95,347,2937,6
2020/7/2 17:00,10968,2303,7593,1198,95,352,1082,8
2020/7/2 18:00,10759,2302,7729,1254,95,350,321,11
2020/7/2 19:00,10540,2303,7643,1273,95,352,11,14
2020/7/2 20:00,10103,2305,7617,1245,95,349,0,16
2020/7/2 21:00,9521,2302,7301,1234,95,346,0,25
2020/7/2 22:00,9085,2303,6802,1251,95,351,0,46
2020/7/2 23:00,8570,2303,6395,1251,95,349,0,52
2020/7/3 0:00,7869,2304,6176,1202,96,356,0,68
2020/7/3 1:00,7511,2303,6136,1215,96,352,0,88
2020/7/3 2:00,7648,2303,6273,1226,96,353,0,92
2020/7/3 3:00,8062,2301,6623,1228,96,354,0,92
2020/7/3 4:00,8484,2298,6753,1226,96,355,0,85
2020/7/3 5:00,8482,2302,6708,1210,96,356,9,70
2020/7/3 6:00,8352,2299,6362,1199,96,358,124,74
2020/7/3 7:00,8665,2302,6548,1164,96,356,357,76
2020/7/3 8:00,9435,2303,6559,1139,96,353,817,71
2020/7/3 9:00,10069,2304,7133,1140,96,353,1279,78
2020/7/3 10:00,10333,2302,7159,1161,96,353,1556,73
2020/7/3 11:00,10556,2302,7479,1177,97,351,1481,79
2020/7/3 12:00,10188,2302,7289,1198,97,354,1068,107
2020/7/3 13:00,10410,2302,7725,1205,97,355,986,130
2020/7/3 14:00,10441,2303,7516,1201,97,353,835,165
2020/7/3 15:00,10338,2301,7556,1193,97,355,606,183
2020/7/3 16:00,10342,2301,7997,1192,96,356,474,213
2020/7/3 17:00,10096,2301,7979,1200,96,359,309,184
2020/7/3 18:00,9986,2304,7900,1182,96,360,103,193
2020/7/3 19:00,9800,2300,7606,1198,96,360,4,198
2020/7/3 20:00,9442,2302,7478,1205,96,359,0,185
2020/7/3 21:00,9023,2301,7331,1150,95,356,0,144
2020/7/3 22:00,8699,2303,6852,1163,95,355,0,191
2020/7/3 23:00,8313,2303,5511,1165,95,356,0,200
2020/7/4 0:00,7774,2302,5103,1140,96,359,0,203
2020/7/4 1:00,7531,2302,4953,1100,97,358,0,185
2020/7/4 2:00,7737,2302,5402,1109,97,368,0,175
2020/7/4 3:00,8224,2302,5618,1109,97,370,0,174
2020/7/4 4:00,8548,2299,5899,1135,97,369,0,170
2020/7/4 5:00,8488,2299,5811,1149,97,370,3,179
2020/7/4 6:00,8068,2299,5299,1137,96,371,82,178
2020/7/4 7:00,8189,2303,5260,1121,96,369,365,177
2020/7/4 8:00,8835,2303,5826,1111,97,367,638,155
2020/7/4 9:00,9369,2303,5646,1119,97,368,1211,110
2020/7/4 10:00,9563,2303,4298,1131,96,366,2870,73
2020/7/4 11:00,9708,2303,3610,1096,97,367,4214,41
2020/7/4 12:00,9982,2303,3549,996,96,367,4876,34
2020/7/4 13:00,9982,2302,3461,1017,97,366,4553,35
