DATE_TIME,エリア需要〔MWh〕,原子力〔MWh〕,火力〔MWh〕,水力〔MWh〕,地熱〔MWh〕,バイオマス〔MWh〕,実績〔MWh〕,実績〔MWh〕
2022/10/1 0:00,7476,1816,6077,661,128,509,0,2
2022/10/1 1:00,7134,1815,5684,666,128,508,0,2
2022/10/1 2:00,7218,1816,5782,692,128,507,0,1
2022/10/1 3:00,7611,1814,6183,739,128,508,0,1
2022/10/1 4:00,7966,1812,6523,836,128,506,0,1
2022/10/1 5:00,8070,1813,6502,845,128,510,0,1
2022/10/1 6:00,7557,1815,5995,721,128,508,139,1
2022/10/1 7:00,7435,1815,4452,712,128,507,1622,0
2022/10/1 8:00,7841,1814,3173,683,128,473,3724,0
2022/10/1 9:00,8719,1816,2590,660,127,423,5668,0
2022/10/1 10:00,9397,1815,2315,689,126,420,7083,0
2022/10/1 11:00,10113,1817,2178,671,127,422,7970,0
2022/10/1 12:00,10231,1815,2282,632,126,421,8059,0
2022/10/1 13:00,10402,1815,2690,637,126,421,7606,0
2022/10/1 14:00,10332,1814,3686,532,126,435,6482,1
2022/10/1 15:00,10213,1816,4750,513,126,498,4641,1
2022/10/1 16:00,10115,1804,6624,505,126,506,2368,1
2022/10/1 17:00,9891,1804,7548,749,126,505,506,2
2022/10/1 18:00,9854,1806,7498,910,126,507,3,2
2022/10/1 19:00,9461,1817,7387,906,126,509,0,2
2022/10/1 20:00,8907,1817,7349,845,127,507,0,3
2022/10/1 21:00,8384,1816,7194,607,128,509,0,4
2022/10/1 22:00,8108,1816,6898,524,128,507,0,4
2022/10/1 23:00,7716,1817,6434,534,128,507,0,2
2022/10/2 0:00,7138,1817,5886,497,128,508,0,2
2022/10/2 1:00,6780,1818,5423,476,128,508,0,4
2022/10/2 2:00,6893,1816,5638,503,128,507,0,3
2022/10/2 3:00,7292,1816,6057,565,128,510,0,2
2022/10/2 4:00,7661,1813,6414,603,128,505,0,6
2022/10/2 5:00,7752,1814,6390,611,128,509,0,15
2022/10/2 6:00,7219,1812,5798,529,128,509,138,22
