DATE_TIME,エリア需要〔MWh〕,原子力〔MWh〕,火力〔MWh〕,水力〔MWh〕,地熱〔MWh〕,バイオマス〔MWh〕,実績〔MWh〕,実績〔MWh〕
2021/4/1 0:00,7228,4131,4289,197,144,438,0,34
2021/4/1 1:00,7195,4132,4202,219,144,437,0,41
2021/4/1 2:00,7697,4131,4525,205,144,434,0,50
2021/4/1 3:00,8333,4131,5030,339,145,434,0,48
2021/4/1 4:00,8583,4129,5165,536,144,433,0,64
2021/4/1 5:00,8509,4133,5122,646,145,430,0,90
2021/4/1 6:00,8355,4131,4969,469,145,424,172,115
2021/4/1 7:00,8223,4133,4437,265,144,399,1177,136
2021/4/1 8:00,8251,4130,3648,241,144,384,2698,164
2021/4/1 9:00,8565,4133,3188,198,144,364,4199,160
2021/4/1 10:00,8541,4133,3065,188,144,349,4624,150
2021/4/1 11:00,8672,4131,2937,171,144,353,5134,149
2021/4/1 12:00,8556,4132,2892,179,144,353,4823,167
2021/4/1 13:00,8580,4129,2855,164,144,353,4537,171
2021/4/1 14:00,8549,4130,2928,177,144,354,4047,166
2021/4/1 15:00,8487,4131,3119,183,147,370,3187,166
2021/4/1 16:00,8714,4120,3791,222,161,385,1706,193
2021/4/1 17:00,8886,4122,4548,303,163,387,604,226
2021/4/1 18:00,9260,4126,5108,669,163,392,33,239
2021/4/1 19:00,9224,4135,5181,695,163,390,0,237
2021/4/1 20:00,8845,4133,5036,553,164,392,0,235
2021/4/1 21:00,8456,4135,4933,311,164,386,0,237
2021/4/1 22:00,8040,4133,4566,228,164,387,0,201
2021/4/1 23:00,7701,4139,4144,206,164,388,0,210
2021/4/2 0:00,7268,4133,4027,215,164,395,0,212
2021/4/2 1:00,7243,4134,4105,192,163,394,0,209
2021/4/2 2:00,7710,4135,4490,215,163,392,0,216
2021/4/2 3:00,8284,4134,4885,340,163,395,0,197
2021/4/2 4:00,8592,4134,4937,540,163,395,0,210
2021/4/2 5:00,8445,4132,4897,466,163,395,0,209
2021/4/2 6:00,8214,4133,4736,324,163,396,90,212
2021/4/2 7:00,8235,4133,4433,234,162,398,707,207
2021/4/2 8:00,8529,4136,3864,216,163,368,1744,233
2021/4/2 9:00,8809,4134,3233,192,162,329,3105,239
2021/4/2 10:00,8896,4135,2953,200,163,325,4181,231
2021/4/2 11:00,9040,4136,2815,198,160,326,4434,254
2021/4/2 12:00,8660,4134,2494,172,163,328,4420,252
2021/4/2 13:00,9093,4135,2572,181,163,326,4311,253
2021/4/2 14:00,9088,4133,3150,200,163,324,3352,264
2021/4/2 15:00,9028,4135,3836,192,163,333,2398,258
2021/4/2 16:00,9014,4134,4630,214,163,389,1456,260
2021/4/2 17:00,9002,4128,5244,386,163,396,572,259
2021/4/2 18:00,9235,4127,5352,711,163,393,55,260
2021/4/2 19:00,9210,4130,5196,697,163,392,0,258
2021/4/2 20:00,8792,4139,5161,645,163,392,0,267
2021/4/2 21:00,8427,4137,5158,399,163,391,0,267
2021/4/2 22:00,8103,4138,4657,308,163,392,0,258
2021/4/2 23:00,7769,4135,4569,241,163,394,0,246
2021/4/3 0:00,7356,4137,3913,230,163,420,0,233
2021/4/3 1:00,7247,4138,3799,236,163,414,0,232
2021/4/3 2:00,7692,4136,4290,254,163,418,0,223
2021/4/3 3:00,8249,4140,4739,407,162,421,0,224
2021/4/3 4:00,8428,4135,4724,545,162,420,0,259
2021/4/3 5:00,8163,4136,4418,526,162,417,0,254
2021/4/3 6:00,7599,4136,3862,340,162,417,162,256
2021/4/3 7:00,7415,4136,3221,275,163,418,1083,249
2021/4/3 8:00,7631,4139,2303,248,162,418,2379,225
2021/4/3 9:00,7887,4136,1746,253,162,411,3529,234
2021/4/3 10:00,8064,4137,1634,256,161,397,4492,223
2021/4/3 11:00,8256,4138,1642,229,161,399,4957,221
2021/4/3 12:00,7978,4137,1634,218,161,399,4489,199
2021/4/3 13:00,8010,4136,1715,235,161,398,3608,178
