DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,風力（実績）
2019/04/01,00:00,11979,0,10855,502,0,0,0,124
2019/04/01,01:00,11880,0,10736,502,0,0,0,125
2019/04/01,02:00,12192,0,11160,505,0,0,0,110
2019/04/01,03:00,12465,0,11992,506,0,0,0,95
2019/04/01,04:00,12615,0,12259,515,0,0,0,88
2019/04/01,05:00,13214,0,12729,508,0,0,0,85
2019/04/01,06:00,14340,0,13186,629,0,0,667,79
2019/04/01,07:00,15472,0,12057,695,0,0,2694,78
2019/04/01,08:00,17239,0,11806,705,0,0,4424,56
2019/04/01,09:00,18117,0,11662,660,0,0,5423,54
2019/04/01,10:00,18097,0,11158,553,0,0,6145,74
2019/04/01,11:00,17979,0,11523,534,0,0,6085,99
2019/04/01,12:00,16428,0,10518,539,0,0,5462,111
2019/04/01,13:00,17436,0,11652,556,0,0,5327,122
2019/04/01,14:00,17317,0,12527,735,0,0,3903,145
2019/04/01,15:00,17263,0,13210,760,0,0,2937,157
2019/04/01,16:00,17680,0,14418,792,0,0,1931,146
2019/04/01,17:00,17537,0,16250,1117,0,0,301,128
2019/04/01,18:00,18282,0,17165,1321,0,0,0,177
2019/04/01,19:00,17867,0,16894,1304,0,0,0,168
2019/04/01,20:00,17437,0,16232,1259,0,0,0,155
2019/04/01,21:00,17133,0,16019,963,0,0,0,182
2019/04/01,22:00,16447,0,15301,740,0,0,0,167
2019/04/01,23:00,16018,0,15043,695,0,0,0,140
2019/04/02,00:00,15060,0,13913,521,0,0,0,144
2019/04/02,01:00,14849,0,14370,504,0,0,0,125
2019/04/02,02:00,14999,0,14776,488,0,0,0,127
2019/04/02,03:00,15095,0,14864,494,0,0,0,127
2019/04/02,04:00,15010,0,14867,498,0,0,0,141
2019/04/02,05:00,15271,0,15050,489,0,0,0,124
2019/04/02,06:00,16377,0,15158,520,0,0,713,108
2019/04/02,07:00,17108,0,13740,667,0,0,2689,98
2019/04/02,08:00,18609,0,13156,770,0,0,4408,76
2019/04/02,09:00,19168,0,12435,665,0,0,5690,72
2019/04/02,10:00,18913,0,12232,614,0,0,5791,113
2019/04/02,11:00,18813,0,13085,542,0,0,5227,129
2019/04/02,12:00,17196,0,12806,518,0,0,4042,126
2019/04/02,13:00,18472,0,14029,615,0,0,4052,156
2019/04/02,14:00,18523,0,13674,600,0,0,4111,160
2019/04/02,15:00,18190,0,14395,612,0,0,3168,163
2019/04/02,16:00,18319,0,15379,823,0,0,1917,146
2019/04/02,17:00,18280,0,16322,1309,0,0,368,135
2019/04/02,18:00,18930,0,17005,1562,0,0,0,123
2019/04/02,19:00,18687,0,17059,1388,0,0,0,109
2019/04/02,20:00,18166,0,17028,1113,0,0,0,72
2019/04/02,21:00,17844,0,16933,979,0,0,0,72
2019/04/02,22:00,16943,0,16085,708,0,0,0,60
2019/04/02,23:00,16440,0,14894,729,0,0,0,78
2019/04/03,00:00,15601,0,14099,485,0,0,0,85
2019/04/03,01:00,15286,0,14348,468,0,0,0,73
2019/04/03,02:00,15364,0,14609,495,0,0,0,74
2019/04/03,03:00,15373,0,14610,535,0,0,0,60
2019/04/03,04:00,15197,0,14598,526,0,0,0,66
2019/04/03,05:00,15488,0,14952,576,0,0,0,83
2019/04/03,06:00,16674,0,15241,804,0,0,773,72
2019/04/03,07:00,17367,0,14013,681,0,0,2730,67
2019/04/03,08:00,18894,0,13695,657,0,0,4405,65
2019/04/03,09:00,19745,0,13302,544,0,0,5562,100
2019/04/03,10:00,19352,0,12618,541,0,0,6019,113
2019/04/03,11:00,19183,0,12310,492,0,0,6138,120
2019/04/03,12:00,17754,0,11006,486,0,0,5984,132
2019/04/03,13:00,18726,0,11931,487,0,0,6058,136
2019/04/03,14:00,18400,0,12643,508,0,0,5152,143
2019/04/03,15:00,17868,0,13418,624,0,0,3673,144
2019/04/03,16:00,18119,0,14814,766,0,0,2164,137
2019/04/03,17:00,17972,0,16062,1100,0,0,478,115
2019/04/03,18:00,18664,0,17068,1323,0,0,0,104
2019/04/03,19:00,18542,0,16792,1330,0,0,0,94
2019/04/03,20:00,18140,0,16419,1209,0,0,0,85
2019/04/03,21:00,17604,0,16450,884,0,0,0,72
2019/04/03,22:00,16886,0,15767,753,0,0,0,65
2019/04/03,23:00,16212,0,14832,677,0,0,0,68
2019/04/04,00:00,15383,0,14014,473,0,0,0,56
2019/04/04,01:00,15145,0,14259,446,0,0,0,64
2019/04/04,02:00,15145,0,14921,442,0,0,0,58
2019/04/04,03:00,15191,0,15133,446,0,0,0,61
2019/04/04,04:00,15124,0,15044,438,0,0,0,56
2019/04/04,05:00,15421,0,15139,498,0,0,0,64
2019/04/04,06:00,16549,0,15404,695,0,0,819,56
2019/04/04,07:00,17150,0,13833,681,0,0,2810,44
2019/04/04,08:00,18626,0,13272,704,0,0,4581,54
2019/04/04,09:00,19186,0,12300,558,0,0,5880,80
2019/04/04,10:00,18722,0,10865,467,0,0,6609,93
2019/04/04,11:00,18306,0,10113,455,0,0,6769,99
2019/04/04,12:00,16833,0,8994,440,0,0,6639,91
2019/04/04,13:00,17570,0,10043,448,0,0,6199,94
2019/04/04,14:00,17311,0,10574,475,0,0,5314,94
2019/04/04,15:00,16955,0,11764,531,0,0,3971,96
2019/04/04,16:00,17086,0,13753,829,0,0,2174,86
2019/04/04,17:00,16866,0,14931,1122,0,0,449,59
2019/04/04,18:00,17463,0,15633,1311,0,0,0,45
2019/04/04,19:00,17186,0,15571,1271,0,0,0,61
2019/04/04,20:00,16787,0,15473,1169,0,0,0,89
2019/04/04,21:00,16215,0,15099,797,0,0,0,89
2019/04/04,22:00,15607,0,14272,570,0,0,0,67
2019/04/04,23:00,15032,0,13440,557,0,0,0,58
2019/04/05,00:00,14281,0,12801,483,0,0,0,52
2019/04/05,01:00,14072,0,12925,470,0,0,0,43
2019/04/05,02:00,14228,0,13306,466,0,0,0,49
2019/04/05,03:00,14351,0,13519,451,0,0,0,55
2019/04/05,04:00,14385,0,13440,488,0,0,0,61
2019/04/05,05:00,14686,0,13543,595,0,0,0,39
2019/04/05,06:00,15389,0,13609,609,0,0,515,45
2019/04/05,07:00,16091,0,12345,624,0,0,2385,27
2019/04/05,08:00,17504,0,11730,650,0,0,4249,27
2019/04/05,09:00,18049,0,11271,528,0,0,5462,43
2019/04/05,10:00,17668,0,10097,482,0,0,6287,57
2019/04/05,11:00,17325,0,8963,434,0,0,6686,60
2019/04/05,12:00,15993,0,8215,411,0,0,6646,69
2019/04/05,13:00,16645,0,8682,416,0,0,6112,82
2019/04/05,14:00,16496,0,9400,437,0,0,5054,94
2019/04/05,15:00,16178,0,10627,493,0,0,3636,95
2019/04/05,16:00,16218,0,12343,683,0,0,1949,108
2019/04/05,17:00,15882,0,13291,1132,0,0,271,109
2019/04/05,18:00,16276,0,13722,1235,0,0,0,115
2019/04/05,19:00,15956,0,13561,1187,0,0,0,117
2019/04/05,20:00,15474,0,13230,1008,0,0,0,136
2019/04/05,21:00,15060,0,13068,881,0,0,0,124
2019/04/05,22:00,14602,0,12743,772,0,0,0,120
2019/04/05,23:00,14047,0,12371,632,0,0,0,114
2019/04/06,00:00,13251,0,11975,480,0,0,0,86
2019/04/06,01:00,12992,0,11955,453,0,0,0,72
2019/04/06,02:00,13115,0,12161,449,0,0,0,74
2019/04/06,03:00,13227,0,12272,454,0,0,0,86
2019/04/06,04:00,12937,0,11865,473,0,0,0,96
2019/04/06,05:00,12674,0,11486,514,0,0,0,117
2019/04/06,06:00,12352,0,10743,573,0,0,396,123
2019/04/06,07:00,12528,0,9897,607,0,0,1748,98
2019/04/06,08:00,13299,0,8192,583,0,0,3810,111
2019/04/06,09:00,13494,0,6850,513,0,0,5150,128
2019/04/06,10:00,13450,0,5852,457,0,0,6006,149
2019/04/06,11:00,13361,0,5601,429,0,0,6557,137
2019/04/06,12:00,12825,0,5405,419,0,0,6449,139
2019/04/06,13:00,12792,0,5562,425,0,0,5917,126
2019/04/06,14:00,12584,0,5931,464,0,0,4940,107
2019/04/06,15:00,12414,0,7367,546,0,0,3546,97
2019/04/06,16:00,12510,0,9197,710,0,0,1845,78
2019/04/06,17:00,12493,0,10726,886,0,0,327,59
2019/04/06,18:00,13274,0,11826,964,0,0,0,65
2019/04/06,19:00,13237,0,11719,989,0,0,0,43
2019/04/06,20:00,12967,0,11555,892,0,0,0,29
2019/04/06,21:00,12476,0,11265,702,0,0,0,22
2019/04/06,22:00,11889,0,10725,592,0,0,0,25
2019/04/06,23:00,11591,0,10339,535,0,0,0,18
2019/04/07,00:00,11083,0,9770,457,0,0,0,17
2019/04/07,01:00,10966,0,9699,437,0,0,0,21
2019/04/07,02:00,11176,0,10093,465,0,0,0,15
