DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,風力（実績）
2023/04/01,00:00,11570,0,6843,1296,2,230,0,7
2023/04/01,01:00,11279,0,6667,1283,1,225,0,7
2023/04/01,02:00,11498,0,6687,1282,2,225,0,8
2023/04/01,03:00,11783,0,7034,1273,2,226,0,12
2023/04/01,04:00,11747,0,7195,1294,2,224,0,13
2023/04/01,05:00,11523,0,6602,1332,1,224,11,14
2023/04/01,06:00,11200,0,5415,1333,2,224,869,14
2023/04/01,07:00,11141,0,4571,1357,2,222,3354,10
2023/04/01,08:00,11579,0,3752,1319,1,223,5881,4
2023/04/01,09:00,12044,0,3472,1238,2,223,7679,5
2023/04/01,10:00,11938,0,3372,1207,2,223,8681,7
2023/04/01,11:00,11902,0,3427,1200,1,222,9039,11
2023/04/01,12:00,11538,0,3424,1170,2,222,8940,12
2023/04/01,13:00,11455,0,3480,1185,2,223,8362,9
2023/04/01,14:00,11223,0,3836,1206,1,222,7148,4
2023/04/01,15:00,11071,0,3877,1285,2,223,5157,4
2023/04/01,16:00,10972,0,4479,1336,1,224,2594,6
2023/04/01,17:00,11171,0,5708,1449,2,222,457,6
2023/04/01,18:00,11816,0,6487,1478,2,224,0,7
2023/04/01,19:00,11763,0,6507,1469,1,223,0,14
2023/04/01,20:00,11478,0,6512,1410,2,224,0,18
2023/04/01,21:00,11054,0,6701,1296,2,224,0,13
2023/04/01,22:00,10584,0,5916,1240,2,224,0,11
2023/04/01,23:00,10386,0,6343,1186,1,224,0,11
2023/04/02,00:00,9847,0,6329,1153,2,223,0,13
2023/04/02,01:00,9743,0,6073,1153,2,223,0,13
2023/04/02,02:00,10057,0,6286,1161,1,222,0,18
2023/04/02,03:00,10444,0,6571,1158,2,221,0,25
2023/04/02,04:00,10470,0,6632,1152,1,219,0,31
2023/04/02,05:00,10255,0,6691,1192,2,218,11,37
2023/04/02,06:00,9912,0,6105,1227,2,219,794,38
2023/04/02,07:00,10021,0,4757,1243,2,214,2992,37
2023/04/02,08:00,10395,0,3747,1306,1,205,5354,49
2023/04/02,09:00,10716,0,3548,1270,2,191,6914,61
2023/04/02,10:00,10745,0,3335,1247,2,183,7847,61
2023/04/02,11:00,10841,0,3619,1215,1,183,7985,66
2023/04/02,12:00,10739,0,3512,1198,2,183,7758,77
2023/04/02,13:00,10651,0,3661,1181,1,182,7287,88
2023/04/02,14:00,10467,0,3889,1213,2,203,5811,78
2023/04/02,15:00,10302,0,4804,1224,2,214,3812,64
2023/04/02,16:00,10450,0,5377,1247,1,216,1788,62
2023/04/02,17:00,11002,0,6719,1391,2,215,339,63
2023/04/02,18:00,11742,0,7105,1487,2,215,0,71
2023/04/02,19:00,11656,0,7113,1478,1,215,0,64
2023/04/02,20:00,11471,0,7301,1362,2,216,0,46
2023/04/02,21:00,11066,0,7191,1285,2,216,0,51
2023/04/02,22:00,10477,0,7100,1257,1,216,0,64
2023/04/02,23:00,10190,0,7493,1193,2,214,0,64
2023/04/03,00:00,9725,0,6482,1174,2,214,0,58
2023/04/03,01:00,9617,0,6302,1147,1,218,0,52
2023/04/03,02:00,9945,0,6585,1143,2,215,0,47
2023/04/03,03:00,10476,0,7019,1195,2,217,0,39
2023/04/03,04:00,10629,0,7090,1199,1,214,0,39
2023/04/03,05:00,11022,0,7365,1238,2,216,10,35
2023/04/03,06:00,11515,0,7069,1177,2,214,489,31
2023/04/03,07:00,12661,0,6307,1221,2,213,2204,33
2023/04/03,08:00,14454,0,5945,1243,1,214,4347,32
2023/04/03,09:00,15645,0,5653,1263,2,213,6487,23
2023/04/03,10:00,15947,0,4800,1200,2,214,8072,15
2023/04/03,11:00,15738,0,4804,1160,2,214,8435,15
2023/04/03,12:00,14794,0,4437,1133,1,213,8516,12
2023/04/03,13:00,15569,0,5043,1149,2,214,8009,14
2023/04/03,14:00,15530,0,5715,1180,2,213,6766,13
2023/04/03,15:00,15213,0,6616,1188,1,212,4851,14
2023/04/03,16:00,15043,0,8075,1343,2,215,2520,18
2023/04/03,17:00,14574,0,8945,1487,2,214,521,28
2023/04/03,18:00,14792,0,9674,1597,1,216,0,43
2023/04/03,19:00,14434,0,9720,1572,2,216,0,31
2023/04/03,20:00,13944,0,9581,1454,2,216,0,15
2023/04/03,21:00,13624,0,9322,1288,2,216,0,9
2023/04/03,22:00,13204,0,9230,1181,1,216,0,11
2023/04/03,23:00,12875,0,9753,1051,2,215,0,6
2023/04/04,00:00,12138,0,9182,975,2,215,0,4
2023/04/04,01:00,11832,0,8657,1016,2,217,0,8
2023/04/04,02:00,11999,0,8782,1036,1,211,0,11
2023/04/04,03:00,12356,0,8947,1041,2,211,0,13
2023/04/04,04:00,12558,0,8960,1059,2,211,0,12
2023/04/04,05:00,12713,0,8749,1081,1,210,13,7
2023/04/04,06:00,12926,0,8456,997,2,210,889,3
2023/04/04,07:00,13707,0,7461,1068,2,209,3318,2
2023/04/04,08:00,15313,0,6521,1192,1,207,5806,1
2023/04/04,09:00,16430,0,5414,1243,2,206,7515,2
2023/04/04,10:00,16271,0,4936,1152,2,207,8141,4
2023/04/04,11:00,16177,0,5032,1028,2,209,8475,10
2023/04/04,12:00,15165,0,4838,1012,1,209,8536,19
2023/04/04,13:00,15939,0,5547,1013,2,208,7990,21
2023/04/04,14:00,15884,0,5870,1012,2,208,6723,29
2023/04/04,15:00,15596,0,6804,1071,1,209,4961,33
2023/04/04,16:00,15343,0,8478,1307,2,211,2421,31
2023/04/04,17:00,14830,0,9291,1607,2,211,469,24
2023/04/04,18:00,15127,0,9831,1654,1,211,0,23
2023/04/04,19:00,14617,0,9784,1595,2,212,0,16
2023/04/04,20:00,14250,0,9730,1449,2,210,0,13
2023/04/04,21:00,13862,0,9734,1295,1,214,0,11
2023/04/04,22:00,13338,0,9450,1139,2,212,0,10
2023/04/04,23:00,13002,0,9799,1090,2,212,0,7
2023/04/05,00:00,12211,0,9005,993,2,212,0,7
2023/04/05,01:00,12039,0,8438,1010,1,213,0,8
2023/04/05,02:00,12056,0,8294,1065,2,204,0,11
2023/04/05,03:00,12394,0,8500,1167,2,153,0,14
2023/04/05,04:00,12437,0,8746,1182,2,127,0,19
2023/04/05,05:00,12433,0,8672,1185,1,128,10,13
2023/04/05,06:00,12687,0,8655,1148,2,128,429,20
2023/04/05,07:00,13425,0,8219,1132,2,128,1807,17
2023/04/05,08:00,15226,0,8076,1218,2,124,3879,8
2023/04/05,09:00,16246,0,8432,1277,1,123,4924,10
2023/04/05,10:00,16071,0,7768,1144,2,123,5321,14
2023/04/05,11:00,15923,0,7862,1085,2,126,5179,12
2023/04/05,12:00,15010,0,6764,1065,1,127,5855,17
2023/04/05,13:00,15616,0,8260,1086,2,125,4164,15
2023/04/05,14:00,15713,0,8974,1057,2,127,3037,12
2023/04/05,15:00,15449,0,9542,1104,2,125,1563,16
2023/04/05,16:00,15261,0,9720,1295,1,128,732,22
2023/04/05,17:00,14907,0,9862,1485,2,126,164,22
2023/04/05,18:00,15092,0,9895,1590,2,127,0,28
2023/04/05,19:00,14604,0,9854,1554,1,129,0,36
2023/04/05,20:00,14168,0,9767,1510,2,129,0,44
2023/04/05,21:00,13680,0,9347,1423,2,129,0,46
2023/04/05,22:00,13156,0,9485,1303,1,128,0,62
2023/04/05,23:00,12768,0,9421,1230,2,130,0,79
2023/04/06,00:00,12007,0,8917,1113,2,129,0,86
2023/04/06,01:00,11678,0,8523,1094,2,128,0,86
2023/04/06,02:00,11822,0,8704,1098,1,131,0,82
2023/04/06,03:00,12174,0,9002,1117,2,129,0,75
2023/04/06,04:00,12189,0,8929,1129,2,129,0,75
