DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,風力（実績）
2021/04/01,00:00,12463,0,10087,1637,0,0,0,6
2021/04/01,01:00,12224,0,9909,1523,0,0,0,5
2021/04/01,02:00,12359,0,10233,1565,0,0,0,2
2021/04/01,03:00,12587,0,10426,1622,0,0,0,0
2021/04/01,04:00,12710,0,11059,1550,0,0,0,1
2021/04/01,05:00,12762,0,10625,1529,0,0,0,2
2021/04/01,06:00,13042,0,9961,1544,0,0,478,2
2021/04/01,07:00,13826,0,8610,1620,0,0,2272,1
2021/04/01,08:00,15256,0,8093,1625,0,0,4121,1
2021/04/01,09:00,16318,0,8106,1564,0,0,5597,1
2021/04/01,10:00,16389,0,7629,1560,0,0,6731,4
2021/04/01,11:00,16517,0,6867,1487,0,0,7474,10
2021/04/01,12:00,15476,0,6526,1446,0,0,7344,14
2021/04/01,13:00,16051,0,7224,1461,0,0,6707,20
2021/04/01,14:00,16099,0,7973,1572,0,0,5672,21
2021/04/01,15:00,15858,0,9053,1736,0,0,3972,26
2021/04/01,16:00,15777,0,10962,1846,0,0,1963,28
2021/04/01,17:00,15448,0,12829,1911,0,0,306,24
2021/04/01,18:00,15822,0,13203,2008,0,0,0,20
2021/04/01,19:00,15255,0,13120,2029,0,0,0,15
2021/04/01,20:00,14677,0,12811,2025,0,0,0,29
2021/04/01,21:00,14141,0,12518,1956,0,0,0,40
2021/04/01,22:00,13728,0,11569,1810,0,0,0,52
2021/04/01,23:00,13367,0,11399,1717,0,0,0,45
2021/04/02,00:00,12686,0,10746,1655,0,0,0,46
2021/04/02,01:00,12338,0,10785,1644,0,0,0,56
2021/04/02,02:00,12546,0,10933,1653,0,0,0,65
2021/04/02,03:00,12785,0,11200,1620,0,0,0,66
2021/04/02,04:00,12825,0,11250,1528,0,0,0,78
2021/04/02,05:00,12772,0,11115,1585,0,0,0,90
2021/04/02,06:00,12993,0,11042,1495,0,0,489,86
2021/04/02,07:00,13889,0,9458,1498,0,0,2308,92
2021/04/02,08:00,15659,0,9319,1581,0,0,4204,111
2021/04/02,09:00,16646,0,9191,1537,0,0,5340,100
2021/04/02,10:00,16588,0,8164,1408,0,0,5994,104
2021/04/02,11:00,16501,0,7761,1303,0,0,6222,93
