DATE,TIME,実績(万kW)
2023/4/11,4:00,604
2023/4/11,5:00,599
2023/4/11,6:00,586
2023/4/11,7:00,578
2023/4/11,8:00,600
2023/4/11,9:00,624
2023/4/11,10:00,628
2023/4/11,11:00,628
2023/4/11,12:00,584
2023/4/11,13:00,618
2023/4/11,14:00,607
2023/4/11,15:00,598
2023/4/11,16:00,604
2023/4/11,17:00,599
2023/4/11,18:00,606
2023/4/11,19:00,596
2023/4/11,20:00,577
2023/4/11,21:00,561
2023/4/11,22:00,531
2023/4/11,23:00,506
2023/4/12,0:00,485
2023/4/12,1:00,488
2023/4/12,2:00,518
2023/4/12,3:00,569
2023/4/12,4:00,583
2023/4/12,5:00,570
2023/4/12,6:00,562
2023/4/12,7:00,582
2023/4/12,8:00,633
2023/4/12,9:00,646
2023/4/12,10:00,637
2023/4/12,11:00,635
2023/4/12,12:00,590
2023/4/12,13:00,609
2023/4/12,14:00,615
2023/4/12,15:00,599
2023/4/12,16:00,612
2023/4/12,17:00,608
2023/4/12,18:00,611
2023/4/12,19:00,604
2023/4/12,20:00,596
2023/4/12,21:00,578
2023/4/12,22:00,548
2023/4/12,23:00,530
2023/4/13,0:00,511
2023/4/13,1:00,516
2023/4/13,2:00,558
2023/4/13,3:00,605
2023/4/13,4:00,627
2023/4/13,5:00,623
2023/4/13,6:00,626
2023/4/13,7:00,606
2023/4/13,8:00,603
2023/4/13,9:00,624
2023/4/13,10:00,621
2023/4/13,11:00,626
2023/4/13,12:00,583
2023/4/13,13:00,616
2023/4/13,14:00,612
2023/4/13,15:00,600
2023/4/13,16:00,617
2023/4/13,17:00,603
2023/4/13,18:00,610
2023/4/13,19:00,603
2023/4/13,20:00,588
2023/4/13,21:00,570
2023/4/13,22:00,545
2023/4/13,23:00,528
2023/4/14,0:00,506
2023/4/14,1:00,505
2023/4/14,2:00,538
2023/4/14,3:00,579
2023/4/14,4:00,596
2023/4/14,5:00,604
2023/4/14,6:00,602
2023/4/14,7:00,592
2023/4/14,8:00,627
2023/4/14,9:00,639
2023/4/14,10:00,643
2023/4/14,11:00,656
2023/4/14,12:00,591
2023/4/14,13:00,619
2023/4/14,14:00,619
2023/4/14,15:00,622
2023/4/14,16:00,628
2023/4/14,17:00,629
2023/4/14,18:00,633
2023/4/14,19:00,617
2023/4/14,20:00,597
2023/4/14,21:00,578
2023/4/14,22:00,564
2023/4/14,23:00,544
2023/4/15,0:00,522
2023/4/15,1:00,516
2023/4/15,2:00,540
2023/4/15,3:00,581
2023/4/15,4:00,602
2023/4/15,5:00,581
2023/4/15,6:00,559
2023/4/15,7:00,561
2023/4/15,8:00,593
2023/4/15,9:00,614
2023/4/15,10:00,613
2023/4/15,11:00,604
2023/4/15,12:00,591
2023/4/15,13:00,594
2023/4/15,14:00,595
2023/4/15,15:00,588
2023/4/15,16:00,590
2023/4/15,17:00,599
2023/4/15,18:00,601
2023/4/15,19:00,593
2023/4/15,20:00,574
2023/4/15,21:00,544
2023/4/15,22:00,515
2023/4/15,23:00,501
2023/4/16,0:00,482
2023/4/16,1:00,475
2023/4/16,2:00,505
2023/4/16,3:00,554
2023/4/16,4:00,570
2023/4/16,5:00,558
2023/4/16,6:00,523
2023/4/16,7:00,500
2023/4/16,8:00,496
2023/4/16,9:00,488
2023/4/16,10:00,481
2023/4/16,11:00,491
2023/4/16,12:00,493
2023/4/16,13:00,504
2023/4/16,14:00,485
2023/4/16,15:00,506
2023/4/16,16:00,515
2023/4/16,17:00,549
2023/4/16,18:00,576
2023/4/16,19:00,576
2023/4/16,20:00,556
2023/4/16,21:00,536
2023/4/16,22:00,504
2023/4/16,23:00,481
2023/4/17,0:00,470
2023/4/17,1:00,480
2023/4/17,2:00,507
2023/4/17,3:00,563
2023/4/17,4:00,591
2023/4/17,5:00,595
2023/4/17,6:00,591
2023/4/17,7:00,571
2023/4/17,8:00,590
2023/4/17,9:00,634
2023/4/17,10:00,636
2023/4/17,11:00,640
2023/4/17,12:00,595
2023/4/17,13:00,618
2023/4/17,14:00,611
2023/4/17,15:00,601
2023/4/17,16:00,609
2023/4/17,17:00,607
2023/4/17,18:00,610
2023/4/17,19:00,609
2023/4/17,20:00,594
2023/4/17,21:00,581
2023/4/17,22:00,559
2023/4/17,23:00,546
2023/4/18,0:00,526
2023/4/18,1:00,524
2023/4/18,2:00,548
2023/4/18,3:00,595
2023/4/18,4:00,626
2023/4/18,5:00,624
2023/4/18,6:00,618
2023/4/18,7:00,611
2023/4/18,8:00,629
2023/4/18,9:00,641
2023/4/18,10:00,633
2023/4/18,11:00,635
2023/4/18,12:00,592
2023/4/18,13:00,620
2023/4/18,14:00,607
2023/4/18,15:00,614
2023/4/18,16:00,639
2023/4/18,17:00,628
2023/4/18,18:00,628
2023/4/18,19:00,619
2023/4/18,20:00,597
2023/4/18,21:00,572
2023/4/18,22:00,541
2023/4/18,23:00,529
2023/4/19,0:00,514
2023/4/19,1:00,514
2023/4/19,2:00,548
2023/4/19,3:00,587
2023/4/19,4:00,610
2023/4/19,5:00,596
2023/4/19,6:00,585
2023/4/19,7:00,587
2023/4/19,8:00,630
2023/4/19,9:00,662
2023/4/19,10:00,655
2023/4/19,11:00,661
2023/4/19,12:00,611
2023/4/19,13:00,648
2023/4/19,14:00,656
2023/4/19,15:00,637
2023/4/19,16:00,633
2023/4/19,17:00,626
2023/4/19,18:00,634
2023/4/19,19:00,623
2023/4/19,20:00,596
2023/4/19,21:00,573
2023/4/19,22:00,547
2023/4/19,23:00,530
2023/4/20,0:00,508
2023/4/20,1:00,508
2023/4/20,2:00,544
2023/4/20,3:00,584
2023/4/20,4:00,604
2023/4/20,5:00,590
2023/4/20,6:00,576
2023/4/20,7:00,572
2023/4/20,8:00,600
2023/4/20,9:00,627
2023/4/20,10:00,626
2023/4/20,11:00,638
2023/4/20,12:00,599
2023/4/20,13:00,637
2023/4/20,14:00,629
2023/4/20,15:00,625
2023/4/20,16:00,632
2023/4/20,17:00,630
2023/4/20,18:00,623
2023/4/20,19:00,613
2023/4/20,20:00,591
2023/4/20,21:00,571
2023/4/20,22:00,540
2023/4/20,23:00,521
2023/4/21,0:00,518
2023/4/21,1:00,514
2023/4/21,2:00,545
2023/4/21,3:00,589
2023/4/21,4:00,609
2023/4/21,5:00,601
2023/4/21,6:00,578
2023/4/21,7:00,562
2023/4/21,8:00,602
2023/4/21,9:00,629
2023/4/21,10:00,623
2023/4/21,11:00,626
2023/4/21,12:00,590
2023/4/21,13:00,647
2023/4/21,14:00,634
2023/4/21,15:00,633
2023/4/21,16:00,621
2023/4/21,17:00,600
2023/4/21,18:00,603
2023/4/21,19:00,603
2023/4/21,20:00,593
2023/4/21,21:00,559
2023/4/21,22:00,528
2023/4/21,23:00,524
2023/4/22,0:00,507
2023/4/22,1:00,497
2023/4/22,2:00,520
2023/4/22,3:00,560
2023/4/22,4:00,581
2023/4/22,5:00,571
2023/4/22,6:00,541
2023/4/22,7:00,511
2023/4/22,8:00,506
2023/4/22,9:00,511
2023/4/22,10:00,522
2023/4/22,11:00,533
2023/4/22,12:00,524
2023/4/22,13:00,532
2023/4/22,14:00,524
2023/4/22,15:00,511
2023/4/22,16:00,522
2023/4/22,17:00,536
2023/4/22,18:00,555
2023/4/22,19:00,565
2023/4/22,20:00,552
2023/4/22,21:00,531
2023/4/22,22:00,505
2023/4/22,23:00,487
2023/4/23,0:00,470
2023/4/23,1:00,468
2023/4/23,2:00,494
2023/4/23,3:00,544
2023/4/23,4:00,571
2023/4/23,5:00,559
2023/4/23,6:00,524
2023/4/23,7:00,485
2023/4/23,8:00,463
2023/4/23,9:00,473
2023/4/23,10:00,480
2023/4/23,11:00,486
2023/4/23,12:00,486
2023/4/23,13:00,478
2023/4/23,14:00,470
2023/4/23,15:00,471
2023/4/23,16:00,492
2023/4/23,17:00,519
2023/4/23,18:00,555
2023/4/23,19:00,566
2023/4/23,20:00,534
2023/4/23,21:00,515
2023/4/23,22:00,490
2023/4/23,23:00,473
2023/4/24,0:00,456
2023/4/24,1:00,453
2023/4/24,2:00,497
2023/4/24,3:00,545
2023/4/24,4:00,582
2023/4/24,5:00,584
2023/4/24,6:00,573
2023/4/24,7:00,573
2023/4/24,8:00,601
2023/4/24,9:00,627
2023/4/24,10:00,631
2023/4/24,11:00,626
2023/4/24,12:00,584
2023/4/24,13:00,616
2023/4/24,14:00,611
2023/4/24,15:00,613
2023/4/24,16:00,625
2023/4/24,17:00,627
2023/4/24,18:00,638
2023/4/24,19:00,630
2023/4/24,20:00,614
2023/4/24,21:00,593
2023/4/24,22:00,557
2023/4/24,23:00,539
2023/4/25,0:00,521
2023/4/25,1:00,516
2023/4/25,2:00,551
2023/4/25,3:00,597
2023/4/25,4:00,620
2023/4/25,5:00,622
2023/4/25,6:00,625
2023/4/25,7:00,630
2023/4/25,8:00,684
2023/4/25,9:00,719
2023/4/25,10:00,707
2023/4/25,11:00,699
2023/4/25,12:00,673
2023/4/25,13:00,698
2023/4/25,14:00,700
2023/4/25,15:00,698
2023/4/25,16:00,704
2023/4/25,17:00,703
2023/4/25,18:00,694
2023/4/25,19:00,672
2023/4/25,20:00,653
2023/4/25,21:00,616
2023/4/25,22:00,586
2023/4/25,23:00,555
2023/4/26,0:00,533
2023/4/26,1:00,530
2023/4/26,2:00,556
2023/4/26,3:00,589
2023/4/26,4:00,609
2023/4/26,5:00,610
2023/4/26,6:00,604
2023/4/26,7:00,597
2023/4/26,8:00,632
2023/4/26,9:00,646
2023/4/26,10:00,639
2023/4/26,11:00,644
2023/4/26,12:00,591
2023/4/26,13:00,621
2023/4/26,14:00,618
2023/4/26,15:00,603
2023/4/26,16:00,612
2023/4/26,17:00,610
2023/4/26,18:00,618
2023/4/26,19:00,617
2023/4/26,20:00,603
2023/4/26,21:00,583
2023/4/26,22:00,557
2023/4/26,23:00,535
2023/4/27,0:00,510
2023/4/27,1:00,518
2023/4/27,2:00,549
2023/4/27,3:00,597
2023/4/27,4:00,627
2023/4/27,5:00,624
2023/4/27,6:00,617
2023/4/27,7:00,585
2023/4/27,8:00,592
2023/4/27,9:00,615
2023/4/27,10:00,610
2023/4/27,11:00,605
2023/4/27,12:00,572
2023/4/27,13:00,598
2023/4/27,14:00,595
2023/4/27,15:00,593
2023/4/27,16:00,590
2023/4/27,17:00,583
2023/4/27,18:00,586
2023/4/27,19:00,586
2023/4/27,20:00,573
2023/4/27,21:00,556
2023/4/27,22:00,532
2023/4/27,23:00,520
2023/4/28,0:00,505
2023/4/28,1:00,506
2023/4/28,2:00,533
2023/4/28,3:00,581
2023/4/28,4:00,600
2023/4/28,5:00,591
2023/4/28,6:00,573
2023/4/28,7:00,557
2023/4/28,8:00,576
2023/4/28,9:00,594
2023/4/28,10:00,591
2023/4/28,11:00,597
2023/4/28,12:00,563
2023/4/28,13:00,597
2023/4/28,14:00,590
2023/4/28,15:00,576
2023/4/28,16:00,587
2023/4/28,17:00,586
2023/4/28,18:00,579
2023/4/28,19:00,577
2023/4/28,20:00,561
2023/4/28,21:00,535
2023/4/28,22:00,511
2023/4/28,23:00,496
2023/4/29,0:00,477
2023/4/29,1:00,470
2023/4/29,2:00,504
2023/4/29,3:00,543
2023/4/29,4:00,563
2023/4/29,5:00,532
2023/4/29,6:00,496
2023/4/29,7:00,489
2023/4/29,8:00,498
2023/4/29,9:00,507
2023/4/29,10:00,513
2023/4/29,11:00,513
2023/4/29,12:00,507
2023/4/29,13:00,515
2023/4/29,14:00,509
2023/4/29,15:00,507
2023/4/29,16:00,524
2023/4/29,17:00,537
2023/4/29,18:00,552
2023/4/29,19:00,544
2023/4/29,20:00,525
2023/4/29,21:00,503
2023/4/29,22:00,473
2023/4/29,23:00,455
2023/4/30,0:00,444
2023/4/30,1:00,443
2023/4/30,2:00,466
2023/4/30,3:00,504
2023/4/30,4:00,512
2023/4/30,5:00,497
2023/4/30,6:00,457
2023/4/30,7:00,440
2023/4/30,8:00,446
2023/4/30,9:00,452
2023/4/30,10:00,430
2023/4/30,11:00,429
2023/4/30,12:00,422
2023/4/30,13:00,420
2023/4/30,14:00,414
2023/4/30,15:00,425
2023/4/30,16:00,441
2023/4/30,17:00,474
2023/4/30,18:00,498
2023/4/30,19:00,514
2023/4/30,20:00,501
2023/4/30,21:00,479
2023/4/30,22:00,451
2023/4/30,23:00,433
2023/5/1,0:00,421
2023/5/1,1:00,422
2023/5/1,2:00,453
2023/5/1,3:00,504
2023/5/1,4:00,527
2023/5/1,5:00,525
2023/5/1,6:00,511
2023/5/1,7:00,492
2023/5/1,8:00,492
2023/5/1,9:00,514
2023/5/1,10:00,526
2023/5/1,11:00,543
2023/5/1,12:00,525
2023/5/1,13:00,532
2023/5/1,14:00,524
2023/5/1,15:00,511
2023/5/1,16:00,520
2023/5/1,17:00,518
2023/5/1,18:00,526
2023/5/1,19:00,534
2023/5/1,20:00,515
2023/5/1,21:00,492
2023/5/1,22:00,471
2023/5/1,23:00,446
2023/5/2,0:00,434
2023/5/2,1:00,430
2023/5/2,2:00,459
2023/5/2,3:00,504
2023/5/2,4:00,537
2023/5/2,5:00,537
2023/5/2,6:00,520
2023/5/2,7:00,485
2023/5/2,8:00,483
2023/5/2,9:00,495
2023/5/2,10:00,502
2023/5/2,11:00,513
2023/5/2,12:00,495
2023/5/2,13:00,505
2023/5/2,14:00,495
2023/5/2,15:00,496
2023/5/2,16:00,511
2023/5/2,17:00,507
2023/5/2,18:00,521
2023/5/2,19:00,524
2023/5/2,20:00,504
2023/5/2,21:00,476
2023/5/2,22:00,456
2023/5/2,23:00,436
2023/5/3,0:00,424
2023/5/3,1:00,423
2023/5/3,2:00,451
2023/5/3,3:00,498
2023/5/3,4:00,523
2023/5/3,5:00,510
2023/5/3,6:00,477
2023/5/3,7:00,451
2023/5/3,8:00,441
2023/5/3,9:00,438
2023/5/3,10:00,445
2023/5/3,11:00,451
2023/5/3,12:00,450
2023/5/3,13:00,445
2023/5/3,14:00,445
2023/5/3,15:00,442
2023/5/3,16:00,473
2023/5/3,17:00,479
2023/5/3,18:00,499
2023/5/3,19:00,506
2023/5/3,20:00,484
2023/5/3,21:00,465
2023/5/3,22:00,437
2023/5/3,23:00,422
2023/5/4,0:00,413
2023/5/4,1:00,412
2023/5/4,2:00,435
2023/5/4,3:00,483
2023/5/4,4:00,503
2023/5/4,5:00,483
2023/5/4,6:00,441
2023/5/4,7:00,428
2023/5/4,8:00,420
2023/5/4,9:00,436
2023/5/4,10:00,441
2023/5/4,11:00,456
2023/5/4,12:00,454
2023/5/4,13:00,450
2023/5/4,14:00,442
2023/5/4,15:00,441
2023/5/4,16:00,454
2023/5/4,17:00,453
2023/5/4,18:00,485
2023/5/4,19:00,494
2023/5/4,20:00,475
2023/5/4,21:00,461
2023/5/4,22:00,435
2023/5/4,23:00,416
2023/5/5,0:00,407
2023/5/5,1:00,408
2023/5/5,2:00,436
2023/5/5,3:00,476
2023/5/5,4:00,488
2023/5/5,5:00,486
2023/5/5,6:00,443
2023/5/5,7:00,426
2023/5/5,8:00,431
2023/5/5,9:00,431
2023/5/5,10:00,431
2023/5/5,11:00,445
2023/5/5,12:00,443
2023/5/5,13:00,451
2023/5/5,14:00,460
2023/5/5,15:00,458
2023/5/5,16:00,478
2023/5/5,17:00,500
2023/5/5,18:00,513
2023/5/5,19:00,516
2023/5/5,20:00,498
2023/5/5,21:00,476
2023/5/5,22:00,452
2023/5/5,23:00,438
2023/5/6,0:00,420
2023/5/6,1:00,412
2023/5/6,2:00,437
2023/5/6,3:00,478
2023/5/6,4:00,494
2023/5/6,5:00,485
2023/5/6,6:00,451
2023/5/6,7:00,426
2023/5/6,8:00,453
2023/5/6,9:00,467
2023/5/6,10:00,484
2023/5/6,11:00,481
2023/5/6,12:00,486
2023/5/6,13:00,500
2023/5/6,14:00,499
2023/5/6,15:00,506
2023/5/6,16:00,512
2023/5/6,17:00,527
2023/5/6,18:00,540
2023/5/6,19:00,535
2023/5/6,20:00,497
2023/5/6,21:00,474
2023/5/6,22:00,463
2023/5/6,23:00,447
2023/5/7,0:00,429
2023/5/7,1:00,424
2023/5/7,2:00,445
2023/5/7,3:00,482
2023/5/7,4:00,506
2023/5/7,5:00,489
2023/5/7,6:00,460
2023/5/7,7:00,442
2023/5/7,8:00,464
2023/5/7,9:00,482
2023/5/7,10:00,500
2023/5/7,11:00,495
2023/5/7,12:00,489
2023/5/7,13:00,487
2023/5/7,14:00,483
2023/5/7,15:00,498
2023/5/7,16:00,512
2023/5/7,17:00,543
2023/5/7,18:00,560
2023/5/7,19:00,550
2023/5/7,20:00,527
2023/5/7,21:00,496
2023/5/7,22:00,469
2023/5/7,23:00,451
2023/5/8,0:00,440
2023/5/8,1:00,433
2023/5/8,2:00,463
2023/5/8,3:00,510
2023/5/8,4:00,539
2023/5/8,5:00,535
2023/5/8,6:00,529
2023/5/8,7:00,524
2023/5/8,8:00,555
2023/5/8,9:00,588
2023/5/8,10:00,605
2023/5/8,11:00,603
2023/5/8,12:00,578
2023/5/8,13:00,596
2023/5/8,14:00,592
2023/5/8,15:00,576
2023/5/8,16:00,576
2023/5/8,17:00,574
2023/5/8,18:00,571
2023/5/8,19:00,584
