DATE,TIME,当日実績(万kW)
2021/04/16,00:00,1277
2021/04/16,01:00,1240
2021/04/16,02:00,1258
2021/04/16,03:00,1286
2021/04/16,04:00,1300
2021/04/16,05:00,1309
2021/04/16,06:00,1349
2021/04/16,07:00,1424
2021/04/16,08:00,1579
2021/04/16,09:00,1686
2021/04/16,10:00,1686
2021/04/16,11:00,1675
2021/04/16,12:00,1566
2021/04/16,13:00,1652
2021/04/16,14:00,1656
2021/04/16,15:00,1624
2021/04/16,16:00,1618
2021/04/16,17:00,1584
2021/04/16,18:00,1606
2021/04/16,19:00,1547
2021/04/16,20:00,1494
2021/04/16,21:00,1433
2021/04/16,22:00,1385
2021/04/16,23:00,1335
