,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2021/4/1,0:00,2849,0,2342,1572,,73,0,17
2021/4/1,1:00,2954,0,2565,1627,,74,0,14
2021/4/1,2:00,3184,0,2601,1718,,74,0,18
2021/4/1,3:00,3372,0,2609,1684,,74,0,25
2021/4/1,4:00,3426,0,2613,1678,,74,0,27
2021/4/1,5:00,3426,0,2610,1691,,74,3,25
2021/4/1,6:00,3313,0,2581,1617,,73,76,21
2021/4/1,7:00,3136,0,2469,1534,,74,276,11
2021/4/1,8:00,3257,0,2222,1419,,73,515,10
2021/4/1,9:00,3395,0,1962,1385,,73,712,17
2021/4/1,10:00,3424,0,1692,1355,,74,856,20
2021/4/1,11:00,3420,0,1619,1339,,74,920,21
2021/4/1,12:00,3203,0,1557,1185,,72,914,22
2021/4/1,13:00,3327,0,1699,1268,,73,854,32
2021/4/1,14:00,3315,0,1721,1354,,73,704,31
2021/4/1,15:00,3247,0,1878,1475,,72,508,28
2021/4/1,16:00,3277,0,2367,1528,,72,290,31
2021/4/1,17:00,3252,0,2592,1411,,73,79,32
2021/4/1,18:00,3346,0,2637,1576,,73,3,41
2021/4/1,19:00,3298,0,2641,1593,,73,0,39
2021/4/1,20:00,3216,0,2644,1556,,73,0,34
2021/4/1,21:00,3109,0,2585,1510,,74,0,33
2021/4/1,22:00,3049,0,2526,1538,,74,0,47
2021/4/1,23:00,3008,0,2439,1536,,73,0,55
2021/4/2,0:00,2894,0,2480,1570,,74,0,57
2021/4/2,1:00,3011,0,2583,1598,,74,0,61
2021/4/2,2:00,3219,0,2522,1595,,73,0,57
2021/4/2,3:00,3380,0,2481,1611,,74,0,61
2021/4/2,4:00,3443,0,2481,1621,,74,0,59
2021/4/2,5:00,3394,0,2420,1641,,74,3,55
2021/4/2,6:00,3281,0,2335,1645,,73,71,58
2021/4/2,7:00,3175,0,2336,1607,,74,251,42
2021/4/2,8:00,3250,0,2335,1577,,72,477,24
2021/4/2,9:00,3353,0,2353,1552,,73,668,8
2021/4/2,10:00,3363,0,2264,1348,,72,814,2
2021/4/2,11:00,3367,0,2070,1185,,73,886,1
2021/4/2,12:00,3166,0,1728,1118,,72,859,2
2021/4/2,13:00,3264,0,1788,1234,,73,728,2
2021/4/2,14:00,3245,0,1753,1397,,73,617,2
2021/4/2,15:00,3196,0,2069,1410,,72,475,2
2021/4/2,16:00,3182,0,2482,1440,,72,248,3
2021/4/2,17:00,3117,0,2530,1518,,72,73,8
2021/4/2,18:00,3173,0,2578,1542,,71,3,10
2021/4/2,19:00,3112,0,2533,1573,,72,0,13
2021/4/2,20:00,3022,0,2533,1592,,71,0,25
2021/4/2,21:00,2921,0,2478,1579,,72,0,28
2021/4/2,22:00,2889,0,2471,1569,,71,0,30
2021/4/2,23:00,2846,0,2518,1572,,72,0,19
2021/4/3,0:00,2721,0,2442,1436,,72,0,15
2021/4/3,1:00,2795,0,2398,1451,,72,0,14
2021/4/3,2:00,2986,0,2435,1477,,71,0,15
2021/4/3,3:00,3141,0,2471,1467,,72,0,16
2021/4/3,4:00,3164,0,2469,1453,,72,0,13
2021/4/3,5:00,3061,0,2521,1474,,72,4,15
2021/4/3,6:00,2801,0,2172,1441,,72,80,14
2021/4/3,7:00,2606,0,2009,1423,,70,278,11
2021/4/3,8:00,2646,0,1983,1424,,71,509,12
2021/4/3,9:00,2705,0,1887,1332,,71,691,12
2021/4/3,10:00,2718,0,1510,1208,,71,824,11
2021/4/3,11:00,2733,0,1462,1118,,70,882,12
2021/4/3,12:00,2632,0,1419,1080,,71,816,12
2021/4/3,13:00,2580,0,1450,1107,,71,666,15
2021/4/3,14:00,2575,0,1571,1119,,70,597,14
2021/4/3,15:00,2570,0,1880,1236,,71,471,13
2021/4/3,16:00,2580,0,2214,1362,,71,229,13
2021/4/3,17:00,2612,0,2181,1442,,71,72,14
2021/4/3,18:00,2699,0,2300,1461,,71,3,18
2021/4/3,19:00,2686,0,2324,1472,,71,0,21
2021/4/3,20:00,2600,0,2264,1471,,72,0,24
2021/4/3,21:00,2526,0,2225,1443,,72,0,27
2021/4/3,22:00,2458,0,2277,1475,,71,0,28
2021/4/3,23:00,2413,0,2358,1464,,72,0,20
2021/4/4,0:00,2336,0,2295,1462,,72,0,18
2021/4/4,1:00,2422,0,2261,1460,,72,0,16
2021/4/4,2:00,2647,0,2321,1472,,71,0,15
2021/4/4,3:00,2783,0,2326,1468,,72,0,18
2021/4/4,4:00,2792,0,2320,1467,,72,1,19
2021/4/4,5:00,2651,0,2378,1475,,71,2,26
2021/4/4,6:00,2420,0,2165,1457,,71,20,32
2021/4/4,7:00,2330,0,2116,1388,,71,48,34
2021/4/4,8:00,2377,0,2108,1206,,70,79,38
2021/4/4,9:00,2479,0,2098,1177,,71,92,36
2021/4/4,10:00,2502,0,2033,1190,,71,134,34
2021/4/4,11:00,2527,0,2153,1171,,70,151,33
2021/4/4,12:00,2545,0,2268,1213,,71,101,32
2021/4/4,13:00,2526,0,2162,1277,,71,93,43
2021/4/4,14:00,2506,0,2191,1303,,71,71,45
2021/4/4,15:00,2497,0,2199,1355,,70,54,38
2021/4/4,16:00,2560,0,2196,1430,,71,30,26
2021/4/4,17:00,2706,0,2322,1457,,71,7,29
2021/4/4,18:00,2782,0,2311,1481,,72,1,29
2021/4/4,19:00,2726,0,2337,1472,,71,1,50
2021/4/4,20:00,2652,0,2286,1444,,72,0,63
2021/4/4,21:00,2551,0,2229,1392,,72,0,63
2021/4/4,22:00,2460,0,2262,1448,,72,0,54
2021/4/4,23:00,2438,0,2322,1549,,72,0,55
2021/4/5,0:00,2413,0,2212,1530,,72,0,56
2021/4/5,1:00,2528,0,2186,1557,,72,0,49
2021/4/5,2:00,2790,0,2358,1590,,72,0,61
2021/4/5,3:00,2934,0,2272,1565,,72,0,57
2021/4/5,4:00,3020,0,2343,1582,,72,0,51
2021/4/5,5:00,3033,0,2411,1611,,71,1,35
2021/4/5,6:00,2979,0,2333,1597,,72,13,29
2021/4/5,7:00,3055,0,2365,1610,,71,80,21
2021/4/5,8:00,3356,0,2384,1646,,71,196,20
2021/4/5,9:00,3581,0,2213,1616,,72,292,32
2021/4/5,10:00,3592,0,2025,1526,,71,411,27
2021/4/5,11:00,3593,0,1907,1415,,70,506,32
2021/4/5,12:00,3354,0,1777,1282,,71,648,32
2021/4/5,13:00,3456,0,1705,1267,,70,775,39
2021/4/5,14:00,3422,0,1670,1440,,71,759,43
2021/4/5,15:00,3332,0,1864,1544,,70,581,49
2021/4/5,16:00,3380,0,2348,1558,,72,330,44
2021/4/5,17:00,3344,0,2487,1504,,70,106,40
2021/4/5,18:00,3457,0,2512,1638,,72,5,35
2021/4/5,19:00,3427,0,2540,1648,,71,0,37
2021/4/5,20:00,3340,0,2449,1648,,72,0,44
2021/4/5,21:00,3247,0,2564,1570,,72,0,42
2021/4/5,22:00,3170,0,2476,1556,,71,0,39
2021/4/5,23:00,3077,0,2303,1607,,72,0,31
2021/4/6,0:00,2979,0,2379,1572,,72,0,28
2021/4/6,1:00,3091,0,2393,1559,,72,0,20
2021/4/6,2:00,3321,0,2471,1548,,72,0,18
2021/4/6,3:00,3463,0,2432,1571,,72,0,23
2021/4/6,4:00,3525,0,2383,1607,,72,0,15
2021/4/6,5:00,3491,0,2345,1617,,71,5,13
2021/4/6,6:00,3443,0,2462,1546,,72,77,10
2021/4/6,7:00,3292,0,2296,1605,,71,261,9
2021/4/6,8:00,3416,0,2385,1603,,72,499,10
2021/4/6,9:00,3540,0,2359,1564,,70,690,13
2021/4/6,10:00,3532,0,2420,1428,,71,837,8
2021/4/6,11:00,3487,0,2324,1268,,71,906,6
2021/4/6,12:00,3272,0,2234,1255,,71,858,11
2021/4/6,13:00,3381,0,2326,1264,,72,722,6
2021/4/6,14:00,3383,0,2367,1336,,72,540,4
2021/4/6,15:00,3333,0,2375,1499,,72,347,4
2021/4/6,16:00,3351,0,2430,1543,,72,184,4
2021/4/6,17:00,3332,0,2575,1508,,71,56,2
2021/4/6,18:00,3408,0,2561,1574,,72,3,2
2021/4/6,19:00,3373,0,2590,1568,,72,0,4
2021/4/6,20:00,3282,0,2584,1579,,71,0,4
2021/4/6,21:00,3161,0,2523,1565,,72,0,1
2021/4/6,22:00,3113,0,2530,1543,,72,0,0
2021/4/6,23:00,3044,0,2477,1528,,71,0,1
2021/4/7,0:00,2949,0,2566,1577,,72,0,1
2021/4/7,1:00,3043,0,2547,1569,,72,0,4
2021/4/7,2:00,3262,0,2600,1592,,72,0,4
2021/4/7,3:00,3396,0,2690,1605,,72,0,1
2021/4/7,4:00,3460,0,2703,1684,,72,0,1
2021/4/7,5:00,3423,0,2724,1686,,72,6,0
2021/4/7,6:00,3353,0,2547,1589,,71,98,0
2021/4/7,7:00,3234,0,2501,1556,,71,302,0
2021/4/7,8:00,3348,0,2404,1585,,72,515,1
2021/4/7,9:00,3473,0,2016,1454,,70,736,1
2021/4/7,10:00,3470,0,1745,1357,,71,895,2
2021/4/7,11:00,3452,0,1631,1377,,71,957,9
2021/4/7,12:00,3246,0,1593,1354,,70,950,14
2021/4/7,13:00,3359,0,1633,1301,,71,904,26
2021/4/7,14:00,3316,0,1752,1370,,71,771,28
2021/4/7,15:00,3246,0,1985,1450,,71,576,3
2021/4/7,16:00,3265,0,2389,1549,,71,327,6
2021/4/7,17:00,3236,0,2624,1551,,71,105,8
2021/4/7,18:00,3327,0,2735,1592,,71,5,8
2021/4/7,19:00,3297,0,2896,1581,,71,0,10
2021/4/7,20:00,3221,0,2844,1533,,72,0,10
2021/4/7,21:00,3184,0,2777,1561,,71,0,5
2021/4/7,22:00,3105,0,2691,1547,,72,0,2
2021/4/7,23:00,3042,0,2703,1492,,72,0,2
2021/4/8,0:00,2949,0,2698,1453,,72,0,2
2021/4/8,1:00,3061,0,2556,1649,,71,0,0
2021/4/8,2:00,3283,0,2578,1714,,72,0,4
2021/4/8,3:00,3455,0,2580,1702,,72,0,3
2021/4/8,4:00,3530,0,2586,1678,,72,0,3
2021/4/8,5:00,3519,0,2669,1659,,72,7,3
2021/4/8,6:00,3419,0,2617,1586,,72,99,4
2021/4/8,7:00,3259,0,2473,1634,,71,299,2
2021/4/8,8:00,3378,0,2411,1562,,71,514,1
2021/4/8,9:00,3473,0,2205,1486,,71,695,1
2021/4/8,10:00,3455,0,1943,1392,,70,760,2
2021/4/8,11:00,3461,0,1768,1335,,71,747,5
2021/4/8,12:00,3259,0,1775,1226,,71,737,10
2021/4/8,13:00,3376,0,1792,1229,,70,678,15
2021/4/8,14:00,3392,0,1846,1484,,71,442,22
2021/4/8,15:00,3400,0,2420,1283,,71,218,24
2021/4/8,16:00,3439,0,2647,1450,,71,105,20
2021/4/8,17:00,3442,0,2780,1554,,70,50,12
2021/4/8,18:00,3477,0,2723,1538,,71,3,18
2021/4/8,19:00,3438,0,2672,1535,,72,0,14
2021/4/8,20:00,3331,0,2615,1582,,71,0,11
2021/4/8,21:00,3257,0,2611,1512,,72,0,6
2021/4/8,22:00,3159,0,2612,1340,,71,0,6
2021/4/8,23:00,3081,0,2600,1315,,71,0,3
2021/4/9,0:00,2967,0,2583,1327,,72,0,1
2021/4/9,1:00,3092,0,2590,1482,,72,0,1
2021/4/9,2:00,3320,0,2611,1522,,72,0,1
2021/4/9,3:00,3492,0,2614,1541,,71,0,3
2021/4/9,4:00,3530,0,2616,1535,,72,0,6
2021/4/9,5:00,3521,0,2615,1582,,72,7,10
