DATE,TIME,当日実績(万kW),
2019/4/23,0:00,282,
2019/4/23,1:00,292,
2019/4/23,2:00,314,
2019/4/23,3:00,327,
2019/4/23,4:00,331,
2019/4/23,5:00,322,
2019/4/23,6:00,311,
2019/4/23,7:00,300,
2019/4/23,8:00,324,
2019/4/23,9:00,342,
2019/4/23,10:00,347,
2019/4/23,11:00,349,
2019/4/23,12:00,328,
2019/4/23,13:00,347,
2019/4/23,14:00,346,
2019/4/23,15:00,341,
2019/4/23,16:00,338,
2019/4/23,17:00,327,
2019/4/23,18:00,328,
2019/4/23,19:00,323,
2019/4/23,20:00,313,
2019/4/23,21:00,302,
2019/4/23,22:00,295,
2019/4/23,23:00,286,
