DATE,TIME,当日実績(万kW),
2019/6/29,0:00,271,
2019/6/29,1:00,266,
2019/6/29,2:00,281,
2019/6/29,3:00,296,
2019/6/29,4:00,291,
2019/6/29,5:00,274,
2019/6/29,6:00,263,
2019/6/29,7:00,268,
2019/6/29,8:00,286,
2019/6/29,9:00,307,
2019/6/29,10:00,315,
2019/6/29,11:00,318,
2019/6/29,12:00,309,
2019/6/29,13:00,313,
2019/6/29,14:00,309,
2019/6/29,15:00,303,
2019/6/29,16:00,302,
2019/6/29,17:00,296,
2019/6/29,18:00,294,
2019/6/29,19:00,291,
2019/6/29,20:00,283,
2019/6/29,21:00,270,
2019/6/29,22:00,259,
2019/6/29,23:00,252,
