DATE,TIME,当日実績(万kW),
2019/5/24,0:00,266,
2019/5/24,1:00,268,
2019/5/24,2:00,289,
2019/5/24,3:00,303,
2019/5/24,4:00,301,
2019/5/24,5:00,291,
2019/5/24,6:00,284,
2019/5/24,7:00,288,
2019/5/24,8:00,319,
2019/5/24,9:00,345,
2019/5/24,10:00,357,
2019/5/24,11:00,364,
2019/5/24,12:00,343,
2019/5/24,13:00,364,
2019/5/24,14:00,367,
2019/5/24,15:00,363,
2019/5/24,16:00,359,
2019/5/24,17:00,340,
2019/5/24,18:00,326,
2019/5/24,19:00,318,
2019/5/24,20:00,307,
2019/5/24,21:00,293,
2019/5/24,22:00,283,
2019/5/24,23:00,273,
