DATE,TIME,当日実績(万kW),
2019/7/27,0:00,313,
2019/7/27,1:00,301,
2019/7/27,2:00,307,
2019/7/27,3:00,314,
2019/7/27,4:00,307,
2019/7/27,5:00,293,
2019/7/27,6:00,294,
2019/7/27,7:00,310,
2019/7/27,8:00,341,
2019/7/27,9:00,368,
2019/7/27,10:00,374,
2019/7/27,11:00,375,
2019/7/27,12:00,365,
2019/7/27,13:00,358,
2019/7/27,14:00,351,
2019/7/27,15:00,341,
2019/7/27,16:00,337,
2019/7/27,17:00,328,
2019/7/27,18:00,322,
2019/7/27,19:00,316,
2019/7/27,20:00,306,
2019/7/27,21:00,292,
2019/7/27,22:00,281,
2019/7/27,23:00,268,
