DATE,TIME,当日実績(万kW),
2019/6/20,0:00,270,
2019/6/20,1:00,268,
2019/6/20,2:00,284,
2019/6/20,3:00,303,
2019/6/20,4:00,299,
2019/6/20,5:00,288,
2019/6/20,6:00,283,
2019/6/20,7:00,294,
2019/6/20,8:00,327,
2019/6/20,9:00,358,
2019/6/20,10:00,372,
2019/6/20,11:00,380,
2019/6/20,12:00,356,
2019/6/20,13:00,380,
2019/6/20,14:00,383,
2019/6/20,15:00,378,
2019/6/20,16:00,375,
2019/6/20,17:00,355,
2019/6/20,18:00,342,
2019/6/20,19:00,332,
2019/6/20,20:00,323,
2019/6/20,21:00,305,
2019/6/20,22:00,296,
2019/6/20,23:00,285,
