DATE,TIME,当日実績(万kW),
2019/4/29,0:00,236,
2019/4/29,1:00,246,
2019/4/29,2:00,269,
2019/4/29,3:00,283,
2019/4/29,4:00,283,
2019/4/29,5:00,272,
2019/4/29,6:00,256,
2019/4/29,7:00,245,
2019/4/29,8:00,248,
2019/4/29,9:00,253,
2019/4/29,10:00,253,
2019/4/29,11:00,250,
2019/4/29,12:00,244,
2019/4/29,13:00,246,
2019/4/29,14:00,245,
2019/4/29,15:00,244,
2019/4/29,16:00,249,
2019/4/29,17:00,257,
2019/4/29,18:00,266,
2019/4/29,19:00,267,
2019/4/29,20:00,259,
2019/4/29,21:00,247,
2019/4/29,22:00,238,
2019/4/29,23:00,232,
