DATE,TIME,当日実績(万kW),
2019/6/12,0:00,263,
2019/6/12,1:00,265,
2019/6/12,2:00,281,
2019/6/12,3:00,299,
2019/6/12,4:00,297,
2019/6/12,5:00,284,
2019/6/12,6:00,276,
2019/6/12,7:00,286,
2019/6/12,8:00,320,
2019/6/12,9:00,344,
2019/6/12,10:00,352,
2019/6/12,11:00,355,
2019/6/12,12:00,335,
2019/6/12,13:00,354,
2019/6/12,14:00,356,
2019/6/12,15:00,351,
2019/6/12,16:00,348,
2019/6/12,17:00,335,
2019/6/12,18:00,326,
2019/6/12,19:00,320,
2019/6/12,20:00,312,
2019/6/12,21:00,299,
2019/6/12,22:00,287,
2019/6/12,23:00,277,
