DATE,TIME,当日実績(万kW)
2020/11/13,0:00,300
2020/11/13,1:00,304
2020/11/13,2:00,324
2020/11/13,3:00,342
2020/11/13,4:00,348
2020/11/13,5:00,343
2020/11/13,6:00,344
2020/11/13,7:00,337
2020/11/13,8:00,346
2020/11/13,9:00,351
2020/11/13,10:00,347
2020/11/13,11:00,341
2020/11/13,12:00,319
2020/11/13,13:00,332
2020/11/13,14:00,334
2020/11/13,15:00,335
2020/11/13,16:00,340
2020/11/13,17:00,346
2020/11/13,18:00,341
2020/11/13,19:00,329
2020/11/13,20:00,316
2020/11/13,21:00,307
2020/11/13,22:00,300
2020/11/13,23:00,292
