DATE,TIME,当日実績(万kW),
2019/6/27,0:00,283,
2019/6/27,1:00,281,
2019/6/27,2:00,296,
2019/6/27,3:00,306,
2019/6/27,4:00,301,
2019/6/27,5:00,287,
2019/6/27,6:00,288,
2019/6/27,7:00,307,
2019/6/27,8:00,351,
2019/6/27,9:00,386,
2019/6/27,10:00,395,
2019/6/27,11:00,400,
2019/6/27,12:00,377,
2019/6/27,13:00,397,
2019/6/27,14:00,398,
2019/6/27,15:00,388,
2019/6/27,16:00,386,
2019/6/27,17:00,371,
2019/6/27,18:00,362,
2019/6/27,19:00,352,
2019/6/27,20:00,340,
2019/6/27,21:00,326,
2019/6/27,22:00,314,
2019/6/27,23:00,300,
